"left","data-link","data-link href","left 2","data1","data1 2","padAst","data1 3","data1 4","data1 5","data1 6","padDp2","data1 7","data1 8","data1 9","data1 10","data1 11","data1 12","data1 13"
"(AUS)","AC Gilchrist","https://stats.espncricinfo.com/ci/content/player/5390.html","1996-2008","286","9595","172","35.93","16","-","-","-","-","470","416","54","","",""
"(IND)","MS Dhoni","https://stats.espncricinfo.com/ci/content/player/28081.html","2004-2019","347","10599","","183*","50.23","9","1","","1/14","31.00","0","438","318","120","19.23"
"(SA)","MV Boucher","https://stats.espncricinfo.com/ci/content/player/44111.html","1998-2011","290","4523","","147*","28.44","1","-","-","-","-","416","395","21","",""
"(BAN)","Mushfiqur Rahim","https://stats.espncricinfo.com/ci/content/player/56029.html","2006-2024","272","7793","144","36.75","9","-","-","-","-","298","242","56","","",""
"(PAK)","Moin Khan","https://stats.espncricinfo.com/ci/content/player/41306.html","1990-2004","219","3266","","72*","23.00","0","-","-","-","-","287","214","73","",""
"(NZ)","BB McCullum","https://stats.espncricinfo.com/ci/content/player/37737.html","2002-2016","260","6083","166","30.41","5","-","-","-","-","277","262","15","","",""
"(ENG)","JC Buttler","https://stats.espncricinfo.com/ci/content/player/308967.html","2012-2025","184","5114","","162*","39.33","11","-","-","-","-","260","223","37","",""
"(AUS)","IA Healy","https://stats.espncricinfo.com/ci/content/player/5628.html","1988-1997","168","1764","56","21.00","0","-","-","-","-","233","194","39","","",""
"(SA)","Q de Kock","https://stats.espncricinfo.com/ci/content/player/379143.html","2013-2023","155","6770","178","45.74","21","-","-","-","-","226","209","17","","",""
"(PAK)","Rashid Latif","https://stats.espncricinfo.com/ci/content/player/42423.html","1992-2003","166","1709","79","19.42","0","-","-","-","-","220","182","38","","",""
"(IND)","R Dravid","https://stats.espncricinfo.com/ci/content/player/28114.html","1996-2011","340","10768","153","39.15","12","4","2/43","","42.50","0","210","196","14","-3.34",""
"(PAK)","Kamran Akmal","https://stats.espncricinfo.com/ci/content/player/41028.html","2002-2017","157","3236","124","26.09","5","-","-","-","-","188","157","31","","",""
"(AUS)","BJ Haddin","https://stats.espncricinfo.com/ci/content/player/5560.html","2001-2015","126","3122","110","31.53","2","-","-","-","-","181","170","11","","",""
"(SA)","AB de Villiers","https://stats.espncricinfo.com/ci/content/player/44936.html","2005-2018","223","9427","176","54.17","25","7","2/15","","25.71","0","176","171","5","28.46",""
"(ENG)","AJ Stewart","https://stats.espncricinfo.com/ci/content/player/20372.html","1989-2003","170","4677","116","31.60","4","-","-","-","-","174","159","15","","",""
"(SA)","DJ Richardson","https://stats.espncricinfo.com/ci/content/player/46978.html","1991-1998","122","868","53","19.72","0","-","-","-","-","165","148","17","","",""
"(AUS)","RT Ponting","https://stats.espncricinfo.com/ci/content/player/7133.html","1995-2012","374","13589","164","41.81","29","3","1/12","","34.66","0","159","159","0","7.14",""
"(IND)","M Azharuddin","https://stats.espncricinfo.com/ci/content/player/26329.html","1985-2000","334","9378","","153*","36.92","7","12","","3/19","39.91","0","156","156","0","-2.99"
"(IND)","V Kohli","https://stats.espncricinfo.com/ci/content/player/253802.html","2008-2025","297","13963","183","57.93","50","5","1/13","","136.00","0","154","154","0","-78.06",""
"(IND)","NR Mongia","https://stats.espncricinfo.com/ci/content/player/31036.html","1994-2000","140","1272","69","20.19","0","-","-","-","-","154","110","44","","",""
