"left","data-link","data-link href","left 2","data1","data1 2","data1 3","data1 4","data1 5","data1 6","data1 7","padDp2","data1 8","data1 9","data1 10","data1 11","data1 12","data1 13","padAst"
"(PAK)","Ramiz Raja","https://stats.espncricinfo.com/ci/content/player/42420.html","1985-1997","198","5841","119*","32.09","9","0","-","-","0","33","33","0","","",""
"(AFG)","Rashid Khan","https://stats.espncricinfo.com/ci/content/player/793463.html","2015-2024","111","1346","60*","19.50","0","198","7/18","","19.87","5","33","33","0","-0.36",""
"(IND)","RR Singh","https://stats.espncricinfo.com/ci/content/player/34059.html","1989-2001","136","2336","25.95","1","69","5/22","43.26","","2","33","33","0","-17.30","","100"
"(BAN)","Abdur Razzak","https://stats.espncricinfo.com/ci/content/player/56283.html","2004-2014","153","779","53*","13.43","0","207","5/29","","29.29","4","32","32","0","-15.86",""
"(SA)","AK Markram","https://stats.espncricinfo.com/ci/content/player/600498.html","2017-2024","74","2288","36.31","3","20","2/18","49.70","","0","32","32","0","-13.38","","175"
"(IND)","J Srinath","https://stats.espncricinfo.com/ci/content/player/34105.html","1991-2003","229","883","10.63","0","315","5/23","28.08","","3","32","32","0","-17.44","","53"
"(ENG)","RW Taylor","https://stats.espncricinfo.com/ci/content/player/21494.html","1973-1984","27","130","26*","13.00","0","-","-","-","-","32","26","6","","",""
"(IND)","R Ashwin","https://stats.espncricinfo.com/ci/content/player/26421.html","2010-2023","116","707","16.44","0","156","4/25","33.20","","0","31","31","0","-16.76","","65"
"(SA)","JM Kemp","https://stats.espncricinfo.com/ci/content/player/45797.html","2001-2007","79","1371","100*","32.64","1","29","3/20","","31.55","0","31","31","0","1.09",""
"(ENG)","AJ Lamb","https://stats.espncricinfo.com/ci/content/player/16178.html","1982-1992","122","4010","39.31","4","0","-","0","-","31","31","0","","","","118"
"(AUS)","GR Marsh","https://stats.espncricinfo.com/ci/content/player/6499.html","1986-1992","117","4357","126*","39.97","9","0","-","-","0","31","31","0","","",""
"(IND)","Mohammed Shami","https://stats.espncricinfo.com/ci/content/player/481896.html","2013-2025","103","220","7.85","0","197","7/57","23.96","","5","31","31","0","-16.11","","25"
"(NZ)","LK Germon","https://stats.espncricinfo.com/ci/content/player/37101.html","1994-1997","37","519","19.96","0","-","-","-","-","30","21","9","","","","89"
"(AUS)","JR Hazlewood","https://stats.espncricinfo.com/ci/content/player/288284.html","2010-2024","91","131","23*","16.37","0","138","6/52","","27.26","3","30","30","0","-10.89",""
"(IND)","SS Karim","https://stats.espncricinfo.com/ci/content/player/30042.html","1997-2000","34","362","15.73","0","-","-","-","-","30","27","3","","","","55"
"(NZ)","WK Lees","https://stats.espncricinfo.com/ci/content/player/37605.html","1979-1983","31","215","11.31","0","-","-","-","-","30","28","2","","","","26"
"(PAK)","Mushtaq Ahmed","https://stats.espncricinfo.com/ci/content/player/41316.html","1989-2003","144","399","34*","9.50","0","161","5/36","","33.29","1","30","30","0","-23.79",""
"(NZ)","HM Nicholls","https://stats.espncricinfo.com/ci/content/player/539511.html","2015-2024","78","2116","124*","35.26","1","-","-","-","-","30","30","0","","",""
"(SA)","M Ntini","https://stats.espncricinfo.com/ci/content/player/46592.html","1998-2009","172","199","42*","8.65","0","265","6/22","","24.53","4","30","30","0","-15.87",""
"(IND)","CS Pandit","https://stats.espncricinfo.com/ci/content/player/32179.html","1986-1992","36","290","33*","20.71","0","-","-","-","-","30","15","15","","",""
