"left","data-link","data-link href","left 2","data1","data1 2","data1 3","data1 4","data1 5","data1 6","data1 7","data1 8","data1 9","data1 10","data1 11","data1 12","data1 13","padDp2","padAst"
"(AFG)","Dawlat Zadran","https://stats.espncricinfo.com/ci/content/player/516561.html","2011-2019","82","513","47*","17.68","0","115","4/22","29.76","0","16","16","0","-12.07","",""
"(ENG)","BN French","https://stats.espncricinfo.com/ci/content/player/12923.html","1985-1988","13","34","9*","6.80","0","-","-","-","16","13","3","","","-",""
"(AUS)","BJ Hodge","https://stats.espncricinfo.com/ci/content/player/5674.html","2005-2007","25","575","30.26","1","1","1/17","51.00","0","16","16","0","-20.73","","","123"
"(NZ)","GP Howarth","https://stats.espncricinfo.com/ci/content/player/37254.html","1975-1985","70","1384","23.06","0","3","1/4","22.66","0","16","16","0","0.40","","","76"
"(ENG)","APE Knott","https://stats.espncricinfo.com/ci/content/player/15917.html","1971-1977","20","200","20.00","0","-","-","-","16","15","1","","","","-","50"
"(IND)","Kuldeep Yadav","https://stats.espncricinfo.com/ci/content/player/559235.html","2017-2025","108","206","9.80","0","174","6/25","26.22","2","16","16","0","-16.41","","","19"
"(PAK)","Naved-ul-Hasan","https://stats.espncricinfo.com/ci/content/player/42272.html","2003-2010","74","524","15.87","0","110","6/27","29.28","1","16","16","0","-13.40","","","33"
"(IND)","A Ratra","https://stats.espncricinfo.com/ci/content/player/33127.html","2002-2002","12","90","12.85","0","-","-","-","16","11","5","","","","-","30"
"(ENG)","PD Salt","https://stats.espncricinfo.com/ci/content/player/669365.html","2021-2025","30","958","34.21","1","-","-","-","16","16","0","","","","-","122"
"(ENG)","VS Solanki","https://stats.espncricinfo.com/ci/content/player/20286.html","2000-2006","51","1097","26.75","2","1","1/17","105.00","0","16","16","0","-78.24","","","106"
"(PAK)","Zaheer Abbas","https://stats.espncricinfo.com/ci/content/player/43695.html","1974-1985","62","2572","47.62","7","7","2/26","31.85","0","16","16","0","15.77","","","123"
"(BAN)","Anamul Haque","https://stats.espncricinfo.com/ci/content/player/380354.html","2012-2024","49","1352","29.39","3","-","-","-","15","15","0","","","","-","120"
"(PAK)","Anil Dalpat","https://stats.espncricinfo.com/ci/content/player/38999.html","1984-1986","15","87","12.42","0","-","-","-","15","13","2","","","","-","37"
"(ENG)","MA Atherton","https://stats.espncricinfo.com/ci/content/player/8579.html","1990-1998","54","1791","35.11","2","-","-","-","15","15","0","","","","-","127"
"(PAK)","Basit Ali","https://stats.espncricinfo.com/ci/content/player/39954.html","1993-1996","50","1265","127*","34.18","1","1","1/17","21.00","0","15","15","0","13.18","",""
"(NZ)","TA Blundell","https://stats.espncricinfo.com/ci/content/player/440516.html","2020-2023","12","266","29.55","0","-","-","-","15","13","2","","","","-","68"
"(NZ)","SE Bond","https://stats.espncricinfo.com/ci/content/player/36326.html","2002-2010","82","292","31*","16.22","0","147","6/19","20.88","4","15","15","0","-4.66","",""
"(SA)","PS de Villiers","https://stats.espncricinfo.com/ci/content/player/44696.html","1992-1997","83","170","20*","8.09","0","95","4/27","27.74","0","15","15","0","-19.65","",""
"(ENG)","ST Finn","https://stats.espncricinfo.com/ci/content/player/210283.html","2011-2017","69","136","8.00","0","102","5/33","29.37","2","15","15","0","-21.37","","","35"
"(PAK)","Imam-ul-Haq","https://stats.espncricinfo.com/ci/content/player/568276.html","2017-2023","72","3138","48.27","9","-","-","-","15","15","0","","","","-","151"
