"left","data-link","data-link href","left 2","data1","data1 2","data1 3","data1 4","data1 5","data1 6","data1 7","data1 8","data1 9","data1 10","data1 11","data1 12","data1 13","padAst","padDp2"
"(AFG)","Mirwais Ashraf","https://stats.espncricinfo.com/ci/content/player/387420.html","2009-2016","46","387","52*","14.33","0","46","4/35","29.56","0","8","8","0","-15.23","",""
"(PAK)","Mohammad Akram","https://stats.espncricinfo.com/ci/content/player/41282.html","1995-2000","23","14","7*","7.00","0","19","2/28","41.57","0","8","8","0","-34.57","",""
"(PAK)","Mohammad Amir","https://stats.espncricinfo.com/ci/content/player/290948.html","2009-2019","61","363","73*","18.15","0","81","5/30","29.62","1","8","8","0","-11.47","",""
"(ENG)","AD Mullally","https://stats.espncricinfo.com/ci/content/player/17121.html","1996-2001","50","86","5.73","0","63","4/18","27.42","0","8","8","0","-21.69","","20",""
"(ENG)","CM Old","https://stats.espncricinfo.com/ci/content/player/18256.html","1973-1981","32","338","51*","18.77","0","45","4/8","22.20","0","8","8","0","-3.42","",""
"(IND)","SLV Raju","https://stats.espncricinfo.com/ci/content/player/33044.html","1990-1996","53","32","4.00","0","63","4/46","31.96","0","8","8","0","-27.96","","8",""
"(ENG)","MR Ramprakash","https://stats.espncricinfo.com/ci/content/player/19323.html","1991-2001","18","376","26.85","0","4","3/28","27.00","0","8","8","0","-0.14","","51",""
"(SA)","RD Rickelton","https://stats.espncricinfo.com/ci/content/player/605661.html","2023-2024","6","188","31.33","0","-","-","-","8","6","2","","","","91","-"
"(SA)","MJR Rindel","https://stats.espncricinfo.com/ci/content/player/46987.html","1994-1999","22","575","27.38","1","6","2/15","40.33","0","8","8","0","-12.95","","106",""
"(PAK)","Sarfraz Nawaz","https://stats.espncricinfo.com/ci/content/player/42630.html","1973-1984","45","221","34*","9.60","0","63","4/27","23.22","0","8","8","0","-13.61","",""
"(NZ)","TL Seifert","https://stats.espncricinfo.com/ci/content/player/625964.html","2019-2019","3","33","16.50","0","-","-","-","8","7","1","","","","22","-"
"(BAN)","Shafiul Islam","https://stats.espncricinfo.com/ci/content/player/288305.html","2010-2020","60","134","24*","6.09","0","70","4/21","36.12","0","8","8","0","-30.03","",""
"(AUS)","SB Smith","https://stats.espncricinfo.com/ci/content/player/7656.html","1983-1985","28","861","39.13","2","0","-","0","8","8","0","","","","117","-"
"(BAN)","Syed Rasel","https://stats.espncricinfo.com/ci/content/player/56160.html","2005-2010","52","81","5.06","0","61","4/22","33.62","0","8","8","0","-28.56","","15",""
"(AUS)","SW Tait","https://stats.espncricinfo.com/ci/content/player/8076.html","2007-2011","35","25","12.50","0","62","4/39","23.56","0","8","8","0","-11.06","","11",""
"(BAN)","Tapash Baisya","https://stats.espncricinfo.com/ci/content/player/56176.html","2002-2007","56","336","35*","12.00","0","59","4/16","41.55","0","8","8","0","-29.55","",""
"(BAN)","Towhid Hridoy","https://stats.espncricinfo.com/ci/content/player/990031.html","2023-2024","33","877","96*","33.73","0","0","-","0","8","8","0","","","","-"
"(AUS)","MRJ Veletta","https://stats.espncricinfo.com/ci/content/player/8105.html","1987-1989","20","484","68*","32.26","0","-","-","-","8","8","0","","","","-"
"(AUS)","DM Wellham","https://stats.espncricinfo.com/ci/content/player/8198.html","1981-1987","17","379","25.26","0","-","-","-","8","8","0","","","","97","-"
"(AUS)","KJ Wright","https://stats.espncricinfo.com/ci/content/player/8264.html","1979-1979","5","29","14.50","0","-","-","-","8","8","0","","","","23","-"
