"left","data-link","data-link href","left 2","data1","data1 2","data1 3","data1 4","data1 5","data1 6","data1 7","data1 8","data1 9","data1 10","data1 11","data1 12","padAst","padDp2"
"(NZ)","KA Jamieson","https://stats.espncricinfo.com/ci/content/player/625960.html","2020-2023","13","83","25*","20.75","0","14","3/45","36.50","0","2","2","0","",""
"(AUS)","JJ Krejza","https://stats.espncricinfo.com/ci/content/player/6235.html","2011-2011","8","13","13.00","0","7","2/28","47.28","0","2","2","0","-34.28","7",""
"(IND)","P Krishnamurthy","https://stats.espncricinfo.com/ci/content/player/30135.html","1976-1976","1","6","6.00","0","-","-","-","2","1","1","","","6","-"
"(AUS)","MP Kuhnemann","https://stats.espncricinfo.com/ci/content/player/774219.html","2022-2022","4","16","8.00","0","6","2/26","31.83","0","2","2","0","-23.83","15",""
"(IND)","DS Kulkarni","https://stats.espncricinfo.com/ci/content/player/277955.html","2014-2016","12","27","25*","0","19","4/34","26.73","0","2","2","0","","","-"
"(IND)","NM Kulkarni","https://stats.espncricinfo.com/ci/content/player/30149.html","1997-1998","10","11","5*","5.50","0","11","3/27","32.45","0","2","2","0","",""
"(IND)","RR Kulkarni","https://stats.espncricinfo.com/ci/content/player/30151.html","1983-1987","10","33","16.50","0","10","3/42","34.50","0","2","2","0","-17.99","15",""
"(AUS)","B Laughlin","https://stats.espncricinfo.com/ci/content/player/315623.html","2009-2009","5","1","1*","0","4","1/28","54.75","0","2","2","0","","","-"
"(ENG)","P Lever","https://stats.espncricinfo.com/ci/content/player/16262.html","1971-1975","10","17","8*","17.00","0","11","4/35","23.72","0","2","2","0","",""
"(ENG)","GD Lloyd","https://stats.espncricinfo.com/ci/content/player/16320.html","1996-1998","6","39","9.75","0","-","-","-","2","2","0","","","22","-"
"(AUS)","SCG MacGill","https://stats.espncricinfo.com/ci/content/player/6441.html","2000-2000","3","1","1.00","0","6","4/19","17.50","0","2","2","0","-16.49","1",""
"(NZ)","BJ McKechnie","https://stats.espncricinfo.com/ci/content/player/37707.html","1975-1981","14","54","13.50","0","19","3/23","26.05","0","2","2","0","-12.55","27",""
"(AUS)","KH MacLeay","https://stats.espncricinfo.com/ci/content/player/6453.html","1983-1987","16","139","12.63","0","15","6/39","41.73","1","2","2","0","-29.09","41",""
"(SA)","SSB Magala","https://stats.espncricinfo.com/ci/content/player/379776.html","2021-2023","8","18","6*","6.00","0","15","5/43","25.40","1","2","2","0","",""
"(AUS)","JN Maguire","https://stats.espncricinfo.com/ci/content/player/6460.html","1983-1984","23","42","14*","7.00","0","19","3/61","40.47","0","2","2","0","",""
"(BAN)","Mahedi Hasan","https://stats.espncricinfo.com/ci/content/player/833087.html","2021-2023","11","122","29*","15.25","0","14","4/71","31.14","0","2","2","0","",""
"(BAN)","Minhajul Abedin","https://stats.espncricinfo.com/ci/content/player/55971.html","1986-1999","27","453","68*","18.87","0","13","2/39","39.30","0","2","2","0","",""
"(PAK)","Mohammad Khalil","https://stats.espncricinfo.com/ci/content/player/41452.html","2005-2005","3","0","0*","0","5","2/55","28.80","0","2","2","0","","","-"
"(AFG)","Mohibullah Oryakhel","https://stats.espncricinfo.com/ci/content/player/524044.html","2013-2013","2","-","-","-","-","-","2","2","0","","","","-","-"
"(ENG)","JE Morris","https://stats.espncricinfo.com/ci/content/player/17102.html","1990-1991","8","167","63*","23.85","0","-","-","-","2","2","0","","","-"
