"left","data-link","data-link href","left 2","data1","data1 2","padAst","data1 3","data1 4","data1 5","data1 6","padDp2","data1 7","data1 8","data1 10","data1 11","data1 12"
"(IND)","DJ Gandhi","https://stats.espncricinfo.com/ci/content/player/28770.html","1999-2000","3","49","30","16.33","0","-","-","-","-","0","0","",""
"(IND)","D Ganesh","https://stats.espncricinfo.com/ci/content/player/28774.html","1997-1997","1","4","4","4.00","0","1","1/20","","20.00","0","0","0","-15.99"
"(IND)","RS Ghai","https://stats.espncricinfo.com/ci/content/player/28808.html","1984-1986","6","1","1","1.00","0","3","1/38","","86.66","0","0","0","-85.66"
"(BAN)","Gholam Nousher","https://stats.espncricinfo.com/ci/content/player/55898.html","1986-1990","9","8","4","8.00","0","5","1/27","","62.80","0","0","0","-54.79"
"(PAK)","Ghulam Ali","https://stats.espncricinfo.com/ci/content/player/40305.html","1993-1995","3","53","38","17.66","0","-","-","-","-","0","0","",""
"(BAN)","Golam Faruq","https://stats.espncricinfo.com/ci/content/player/55897.html","1986-1990","5","44","","23*","22.00","0","2","","1/22","58.00","0","0","0"
"(IND)","MS Gony","https://stats.espncricinfo.com/ci/content/player/317293.html","2008-2008","2","-","-","-","2","2/65","38.00","-","0","0","0","",""
"(ENG)","L Gregory","https://stats.espncricinfo.com/ci/content/player/362201.html","2021-2021","3","117","77","58.50","0","4","3/44","","24.25","0","0","0","34.25"
"(PAK)","Haafiz Shahid","https://stats.espncricinfo.com/ci/content/player/40369.html","1988-1988","3","11","","7*","11.00","0","3","","2/56","37.33","0","0","0"
"(NZ)","BG Hadlee","https://stats.espncricinfo.com/ci/content/player/37220.html","1975-1975","2","26","19","26.00","0","-","-","-","-","0","0","",""
"(ENG)","SR Hain","https://stats.espncricinfo.com/ci/content/player/555850.html","2023-2023","2","106","89","53.00","0","-","-","-","-","0","0","",""
"(NZ)","LJ Hamilton","https://stats.espncricinfo.com/ci/content/player/37228.html","2005-2005","2","3","","2*","0","1","1/76","-","143.00","0","0","0",""
"(AUS)","JR Hammond","https://stats.espncricinfo.com/ci/content/player/5569.html","1972-1972","1","15","","15*","0","1","1/41","-","41.00","0","0","0",""
"(ENG)","JH Hampshire","https://stats.espncricinfo.com/ci/content/player/14024.html","1971-1972","3","48","","25*","24.00","0","-","-","-","-","0","0",""
"(IND)","Harshit Rana","https://stats.espncricinfo.com/ci/content/player/1312645.html","2025-2025","3","13","13","13.00","0","6","3/53","","24.33","0","0","0","-11.33"
"(NZ)","RT Hart","https://stats.espncricinfo.com/ci/content/player/37240.html","1985-1985","1","3","3","3.00","0","-","-","-","-","0","0","",""
"(ENG)","TW Hartley","https://stats.espncricinfo.com/ci/content/player/1150772.html","2023-2023","2","12","","12*","0","0","-","-","0","0","0","",""
"(BAN)","Harunur Rashid","https://stats.espncricinfo.com/ci/content/player/55912.html","1988-1988","2","0","0","0.00","0","-","-","-","-","0","0","",""
"(AUS)","SM Harwood","https://stats.espncricinfo.com/ci/content/player/5605.html","2009-2009","1","0","0","0.00","0","2","2/57","","28.50","0","0","0","-28.49"
"(NZ)","MJ Haslam","https://stats.espncricinfo.com/ci/content/player/37241.html","1992-1992","1","9","9","9.00","0","1","1/28","","28.00","0","0","0","-18.99"
