"left","data-link","data-link href","left 2","data1","data1 2","padAst","data1 3","data1 4","data1 5","data1 6","data1 7","data1 8","data1 10","data1 11","data1 12","padDp2"
"(ENG)","SL Watkin","https://stats.espncricinfo.com/ci/content/player/22333.html","1994-1994","4","4","4","2.00","0","7","4/49","27.57","0","0","0","-25.57",""
"(ENG)","M Watkinson","https://stats.espncricinfo.com/ci/content/player/22328.html","1996-1996","1","-","-","-","0","-","0","0","0","","","","-"
"(AUS)","GD Watson","https://stats.espncricinfo.com/ci/content/player/8176.html","1972-1972","2","11","","11*","11.00","0","2","2/28","14.00","0","0","0",""
"(NZ)","RJ Webb","https://stats.espncricinfo.com/ci/content/player/38746.html","1983-1983","3","6","","6*","0","4","2/28","26.25","0","0","0","","-"
"(ENG)","AP Wells","https://stats.espncricinfo.com/ci/content/player/22361.html","1995-1995","1","15","15","15.00","0","-","-","-","0","0","","","-"
"(ENG)","CM Wells","https://stats.espncricinfo.com/ci/content/player/22363.html","1985-1985","2","22","17","11.00","0","-","-","-","0","0","","","-"
"(AUS)","DF Whatmore","https://stats.espncricinfo.com/ci/content/player/8210.html","1980-1980","1","2","2","2.00","0","-","-","-","0","0","","","-"
"(SA)","D Wiese","https://stats.espncricinfo.com/ci/content/player/221140.html","2015-2016","6","102","","41*","20.40","0","9","3/50","35.11","0","0","0",""
"(SA)","LB Williams","https://stats.espncricinfo.com/ci/content/player/379887.html","2021-2024","7","17","13","5.66","0","16","4/32","22.62","0","0","0","-16.95",""
"(SA)","CM Willoughby","https://stats.espncricinfo.com/ci/content/player/47903.html","2000-2003","3","0","0","0.00","0","2","2/39","74.00","0","0","0","-73.99",""
"(ENG)","L Wood","https://stats.espncricinfo.com/ci/content/player/573170.html","2022-2023","2","10","10","10.00","0","0","-","0","0","0","","","-"
"(AUS)","AJ Woodcock","https://stats.espncricinfo.com/ci/content/player/8244.html","1974-1974","1","53","53","53.00","0","-","-","-","0","0","","","-"
"(NZ)","LJ Woodcock","https://stats.espncricinfo.com/ci/content/player/38920.html","2011-2011","4","14","11","14.00","0","3","2/58","51.66","0","0","0","-37.66",""
"(IND)","T Yohannan","https://stats.espncricinfo.com/ci/content/player/36080.html","2002-2002","3","7","","5*","0","5","3/33","24.40","0","0","0","","-"
"(PAK)","Zafar Gohar","https://stats.espncricinfo.com/ci/content/player/348154.html","2015-2015","1","15","15","15.00","0","2","2/54","27.00","0","0","0","-11.99",""
"(PAK)","Zahid Ahmed","https://stats.espncricinfo.com/ci/content/player/43696.html","1987-1987","2","3","","3*","3.00","0","3","2/24","20.33","0","0","0",""
"(PAK)","Zahid Mahmood","https://stats.espncricinfo.com/ci/content/player/433614.html","2022-2022","4","9","9","9.00","0","4","2/59","55.00","0","0","0","-45.99",""
"(BAN)","Zahid Razzak","https://stats.espncricinfo.com/ci/content/player/56165.html","1988-1990","3","14","6","4.66","0","-","-","-","0","0","","","-"
"(AFG)","Zahir Khan","https://stats.espncricinfo.com/ci/content/player/712219.html","2019-2019","1","-","-","-","2","2/55","27.50","0","0","0","","","-"
"(BAN)","Zakir Hasan","https://stats.espncricinfo.com/ci/content/player/56166.html","1997-1997","1","-","-","-","0","-","0","0","0","","","","-"
