"left","data-link","data-link href","left 2","data1","data1 2","data1 3","data1 4","padAst","data1 5","data1 6","data1 7","data1 8","data1 9","data1 10","data1 11"
"(NZ)","Sir RJ Hadlee","https://stats.espncricinfo.com/ci/content/player/37224.html","1973-1990","115","98","17","1751","79","21.61","2319","75.50","0","4","4",""
"(PAK)","Haris Sohail","https://stats.espncricinfo.com/ci/content/player/318788.html","2013-2023","45","44","5","1749","130","44.84","2046","85.48","2","14","1",""
"(SA)","T Bavuma","https://stats.espncricinfo.com/ci/content/player/372116.html","2016-2025","46","45","5","1733","144","43.32","1958","88.50","5","5","2",""
"(PAK)","Imran Farhat","https://stats.espncricinfo.com/ci/content/player/40582.html","2001-2013","58","58","2","1719","107","30.69","2489","69.06","1","13","3",""
"(PAK)","Rashid Latif","https://stats.espncricinfo.com/ci/content/player/42423.html","1992-2003","166","117","29","1709","79","19.42","2237","76.39","0","3","8",""
"(NZ)","DJ Mitchell","https://stats.espncricinfo.com/ci/content/player/381743.html","2021-2025","44","39","5","1708","134","50.23","1745","97.87","6","6","0",""
"(IND)","AT Rayudu","https://stats.espncricinfo.com/ci/content/player/33141.html","2013-2019","55","50","14","1694","","124*","47.05","2143","79.04","3","10","3"
"(SA)","ND McKenzie","https://stats.espncricinfo.com/ci/content/player/46208.html","2000-2009","64","55","10","1688","","131*","37.51","2432","69.40","2","10","2"
"(NZ)","BA Young","https://stats.espncricinfo.com/ci/content/player/38929.html","1990-1999","74","73","5","1668","74","24.52","2733","61.03","0","9","5",""
"(BAN)","Mehidy Hasan Miraz","https://stats.espncricinfo.com/ci/content/player/629063.html","2017-2024","103","74","11","1599","","112*","25.38","2081","76.83","2","6","4"
"(NZ)","GM Turner","https://stats.espncricinfo.com/ci/content/player/38622.html","1973-1983","41","40","6","1598","","171*","47.00","2348","68.05","3","9","1"
"(PAK)","Saleem Elahi","https://stats.espncricinfo.com/ci/content/player/42620.html","1995-2004","48","47","4","1579","135","36.72","2214","71.31","4","9","3",""
"(AUS)","UT Khawaja","https://stats.espncricinfo.com/ci/content/player/215155.html","2013-2019","40","39","2","1554","104","42.00","1848","84.09","2","12","2",""
"(IND)","IK Pathan","https://stats.espncricinfo.com/ci/content/player/32685.html","2004-2012","120","87","21","1544","83","23.39","1941","79.54","0","5","7",""
"(ENG)","CR Woakes","https://stats.espncricinfo.com/ci/content/player/247235.html","2011-2023","122","88","24","1524","","95*","23.81","1710","89.12","0","6","8"
"(PAK)","Azhar Mahmood","https://stats.espncricinfo.com/ci/content/player/39024.html","1996-2007","143","110","26","1521","67","18.10","1988","76.50","0","3","9",""
"(NZ)","JJ Crowe","https://stats.espncricinfo.com/ci/content/player/36620.html","1983-1990","75","71","12","1518","","88*","25.72","2456","61.80","0","7","6"
"(NZ)","WA Young","https://stats.espncricinfo.com/ci/content/player/547749.html","2021-2025","39","39","5","1503","120","44.20","1716","87.58","3","10","4",""
"(NZ)","JDS Neesham","https://stats.espncricinfo.com/ci/content/player/355269.html","2013-2023","76","65","12","1495","","97*","28.20","1496","99.93","0","7","3"
"(AUS)","MP Stoinis","https://stats.espncricinfo.com/ci/content/player/325012.html","2015-2024","71","64","8","1495","","146*","26.69","1591","93.96","1","6","5"
