"left","data-link","data-link href","left 2","data1","data1 2","data1 3","data1 4","data1 5","data1 6","data1 7","data1 8","data1 9","data1 10","data1 11","padAst"
"(SA)","M Morkel","https://stats.espncricinfo.com/ci/content/player/46538.html","2007-2018","114","45","17","239","32*","8.53","321","74.45","0","0","9",""
"(SA)","KA Maharaj","https://stats.espncricinfo.com/ci/content/player/267724.html","2017-2025","45","23","5","238","13.22","288","82.63","0","0","1","","40"
"(BAN)","Enamul Haque","https://stats.espncricinfo.com/ci/content/player/55878.html","1990-2002","29","26","5","236","11.23","479","49.26","0","0","1","","32"
"(NZ)","GJ Hopkins","https://stats.espncricinfo.com/ci/content/player/37248.html","2004-2010","25","17","1","236","14.75","311","75.88","0","0","3","","45"
"(PAK)","Khurram Manzoor","https://stats.espncricinfo.com/ci/content/player/41140.html","2008-2009","7","7","0","236","33.71","375","62.93","0","3","1","","83"
"(AFG)","Mujeeb Ur Rahman","https://stats.espncricinfo.com/ci/content/player/974109.html","2017-2023","75","40","14","236","9.07","262","90.07","0","1","12","","64"
"(ENG)","JP Crawley","https://stats.espncricinfo.com/ci/content/player/10870.html","1994-1999","13","12","1","235","21.36","408","57.59","0","2","2","","73"
"(PAK)","Abid Ali","https://stats.espncricinfo.com/ci/content/player/39950.html","2019-2020","6","6","0","234","39.00","250","93.60","1","1","1","","112"
"(PAK)","Iftikhar Anjum","https://stats.espncricinfo.com/ci/content/player/40591.html","2004-2010","62","34","19","234","15.60","378","61.90","0","0","4","","32"
"(SA)","MP Breetzke","https://stats.espncricinfo.com/ci/content/player/595267.html","2025-2025","2","2","0","233","116.50","232","100.43","1","1","0","","150"
"(ENG)","P Mustard","https://stats.espncricinfo.com/ci/content/player/17185.html","2007-2008","10","10","0","233","23.30","252","92.46","0","1","0","","83"
"(IND)","STR Binny","https://stats.espncricinfo.com/ci/content/player/27223.html","2014-2015","14","11","3","230","28.75","246","93.49","0","1","1","","77"
"(AFG)","Sediqullah Atal","https://stats.espncricinfo.com/ci/content/player/1161050.html","2024-2024","6","5","0","230","46.00","277","83.03","1","1","0","","104"
"(AUS)","TM Chappell","https://stats.espncricinfo.com/ci/content/player/4561.html","1980-1983","20","13","0","229","17.61","365","62.73","1","0","2","","110"
"(NZ)","DR Flynn","https://stats.espncricinfo.com/ci/content/player/37095.html","2008-2012","20","17","2","228","15.20","360","63.33","0","0","3","","35"
"(AUS)","AMJ Hilditch","https://stats.espncricinfo.com/ci/content/player/5656.html","1979-1985","8","8","0","226","28.25","476","47.47","0","1","0","","72"
"(PAK)","Faheem Ashraf","https://stats.espncricinfo.com/ci/content/player/681117.html","2017-2023","34","24","3","224","10.66","274","81.75","0","0","2","","28"
"(AUS)","BP Julian","https://stats.espncricinfo.com/ci/content/player/6056.html","1993-1999","25","17","0","224","13.17","250","89.60","0","0","4","","35"
"(AUS)","KR Stackpole","https://stats.espncricinfo.com/ci/content/player/7666.html","1971-1974","6","6","0","224","37.33","387","57.88","0","3","0","","61"
"(ENG)","JH Edrich","https://stats.espncricinfo.com/ci/content/player/12490.html","1971-1975","7","6","0","223","37.16","325","68.61","0","2","0","","90"
