"left","data-link","data-link href","left 2","data1","data1 2","data1 3","data1 4","data1 5","data1 6","data1 7","data1 8","data1 10","padAst","data1 11"
"(IND)","SS Tiwary","https://stats.espncricinfo.com/ci/content/player/35390.html","2010-2010","3","2","2","49","37*","56","87.50","0","0","",""
"(BAN)","Arafat Sunny","https://stats.espncricinfo.com/ci/content/player/56268.html","2014-2015","16","11","7","48","12.00","92","52.17","0","1","15",""
"(ENG)","GG Arnold","https://stats.espncricinfo.com/ci/content/player/8566.html","1972-1975","14","6","3","48","18*","16.00","75","64.00","0","","1"
"(ENG)","JH Hampshire","https://stats.espncricinfo.com/ci/content/player/14024.html","1971-1972","3","3","1","48","25*","24.00","86","55.81","0","","0"
"(AUS)","RJ Harris","https://stats.espncricinfo.com/ci/content/player/5779.html","2009-2012","21","13","7","48","8.00","48","100.00","0","0","21",""
"(PAK)","Irfan Khan","https://stats.espncricinfo.com/ci/content/player/1199426.html","2024-2024","8","5","0","48","9.60","73","65.75","0","0","22",""
"(PAK)","Mohammad Irfan","https://stats.espncricinfo.com/ci/content/player/429981.html","2010-2016","60","33","21","48","4.00","149","32.21","0","8","12",""
"(SA)","MW Pringle","https://stats.espncricinfo.com/ci/content/player/46790.html","1992-1994","17","8","3","48","13*","9.60","56","85.71","0","","1"
"(NZ)","TB Robinson","https://stats.espncricinfo.com/ci/content/player/1290929.html","2024-2024","3","3","0","48","16.00","47","102.12","0","0","35",""
"(SA)","PC Strydom","https://stats.espncricinfo.com/ci/content/player/47255.html","2000-2000","10","8","3","48","9.60","94","51.06","0","1","34",""
"(ENG)","JJ Whitaker","https://stats.espncricinfo.com/ci/content/player/22392.html","1987-1987","2","2","1","48","44*","48.00","65","73.84","0","","0"
"(PAK)","Zafar Iqbal","https://stats.espncricinfo.com/ci/content/player/43692.html","1995-1995","8","6","0","48","8.00","62","77.41","0","1","18",""
"(PAK)","Zulqarnain Haider","https://stats.espncricinfo.com/ci/content/player/43860.html","2010-2010","4","4","2","48","19*","24.00","68","70.58","0","","0"
"(IND)","Sarandeep Singh","https://stats.espncricinfo.com/ci/content/player/34211.html","2002-2003","5","4","1","47","15.66","73","64.38","0","0","19",""
"(NZ)","BGK Walker","https://stats.espncricinfo.com/ci/content/player/38737.html","2000-2002","11","7","4","47","16*","15.66","79","59.49","0","","0"
"(AFG)","Fareed Ahmad","https://stats.espncricinfo.com/ci/content/player/568136.html","2014-2024","19","8","4","46","11.50","87","52.87","0","1","17",""
"(IND)","KK Nair","https://stats.espncricinfo.com/ci/content/player/398439.html","2016-2016","2","2","0","46","23.00","88","52.27","0","0","39",""
"(IND)","PP Ojha","https://stats.espncricinfo.com/ci/content/player/32130.html","2008-2012","18","10","8","46","16*","23.00","112","41.07","0","","0"
"(AUS)","IR Redpath","https://stats.espncricinfo.com/ci/content/player/7314.html","1971-1975","5","5","0","46","9.20","67","68.65","0","1","24",""
"(PAK)","Azeem Hafeez","https://stats.espncricinfo.com/ci/content/player/39021.html","1983-1985","15","10","7","45","15.00","104","43.26","0","1","15",""
