"left","data-link","data-link href","left 2","data1","data1 2","data1 3","data1 4","padAst","data1 5","data1 6","data1 7","data1 8","data1 10","data1 11"
"(ENG)","JW Dernbach","https://stats.espncricinfo.com/ci/content/player/12461.html","2011-2013","24","8","1","19","5","2.71","39","48.71","0","1",""
"(IND)","T Kumaran","https://stats.espncricinfo.com/ci/content/player/30157.html","1999-2000","8","3","0","19","8","6.33","27","70.37","0","0",""
"(BAN)","Sunzamul Islam","https://stats.espncricinfo.com/ci/content/player/380974.html","2017-2018","3","1","0","19","19","19.00","24","79.16","0","0",""
"(ENG)","AG Wharf","https://stats.espncricinfo.com/ci/content/player/22380.html","2004-2005","13","5","3","19","9","9.50","28","67.85","0","1",""
"(ENG)","SG Borthwick","https://stats.espncricinfo.com/ci/content/player/310519.html","2011-2011","2","2","0","18","15","9.00","16","112.50","0","0",""
"(NZ)","HJ Howarth","https://stats.espncricinfo.com/ci/content/player/37255.html","1973-1975","9","5","2","18","11","6.00","26","69.23","0","1",""
"(BAN)","Jamaluddin Ahmed","https://stats.espncricinfo.com/ci/content/player/55938.html","2003-2003","1","1","1","18","","18*","28","64.28","0","0",""
"(SA)","SSB Magala","https://stats.espncricinfo.com/ci/content/player/379776.html","2021-2023","8","5","2","18","","6*","6.00","24","75.00","0","1"
"(PAK)","Saleem Pervez","https://stats.espncricinfo.com/ci/content/player/42624.html","1980-1980","1","1","0","18","18","18.00","39","46.15","0","0",""
"(NZ)","HB Shipley","https://stats.espncricinfo.com/ci/content/player/962831.html","2023-2023","8","6","1","18","7","3.60","39","46.15","0","2",""
"(IND)","LR Shukla","https://stats.espncricinfo.com/ci/content/player/34019.html","1999-1999","3","2","0","18","13","9.00","19","94.73","0","0",""
"(AUS)","W Sutherland","https://stats.espncricinfo.com/ci/content/player/1076722.html","2024-2024","2","1","0","18","18","18.00","33","54.54","0","0",""
"(PAK)","Tanvir Ahmed","https://stats.espncricinfo.com/ci/content/player/43307.html","2011-2011","2","1","0","18","18","18.00","12","150.00","0","0",""
"(PAK)","Zulqarnain","https://stats.espncricinfo.com/ci/content/player/43707.html","1985-1989","16","6","3","18","","11*","6.00","30","60.00","0","2"
"(NZ)","GI Allott","https://stats.espncricinfo.com/ci/content/player/36179.html","1997-2000","31","11","6","17","","7*","3.40","56","30.35","0","2"
"(NZ)","JA Clarkson","https://stats.espncricinfo.com/ci/content/player/928015.html","2023-2023","3","2","0","17","16","8.50","24","70.83","0","0",""
"(SA)","DM Dupavillon","https://stats.espncricinfo.com/ci/content/player/501907.html","2020-2021","2","1","0","17","17","17.00","10","170.00","0","0",""
"(ENG)","MJ Hoggard","https://stats.espncricinfo.com/ci/content/player/14236.html","2001-2006","26","6","2","17","7","4.25","30","56.66","0","1",""
"(PAK)","Intikhab Alam","https://stats.espncricinfo.com/ci/content/player/40567.html","1973-1976","4","2","0","17","10","8.50","45","37.77","0","0",""
"(NZ)","RJ Kennedy","https://stats.espncricinfo.com/ci/content/player/37530.html","1996-1996","7","4","3","17","","8*","17.00","15","113.33","0","0"
