"left","data-link","data-link href","left 2","data1"
"(NZ)","SHA Rance","https://stats.espncricinfo.com/ci/content/player/395057.html","2017-2017","2"
"(IND)","Randhir Singh","https://stats.espncricinfo.com/ci/content/player/33085.html","1981-1983","2"
"(PAK)","Rizwan Ahmed","https://stats.espncricinfo.com/ci/content/player/42430.html","2008-2008","1"
"(AFG)","Rokhan Barakzai","https://stats.espncricinfo.com/ci/content/player/793907.html","2015-2015","1"
"(PAK)","Samiullah Khan","https://stats.espncricinfo.com/ci/content/player/43235.html","2008-2008","2"
"(AUS)","GS Sandhu","https://stats.espncricinfo.com/ci/content/player/499660.html","2015-2015","2"
"(SA)","BN Schultz","https://stats.espncricinfo.com/ci/content/player/47165.html","1992-1992","1"
"(ENG)","GLS Scrimshaw","https://stats.espncricinfo.com/ci/content/player/857979.html","2023-2023","1"
"(NZ)","BV Sears","https://stats.espncricinfo.com/ci/content/player/959769.html","2025-2025","2"
"(IND)","TAP Sekhar","https://stats.espncricinfo.com/ci/content/player/33891.html","1983-1985","4"
"(IND)","KV Sharma","https://stats.espncricinfo.com/ci/content/player/30288.html","2014-2014","2"
"(SA)","M Shezi","https://stats.espncricinfo.com/ci/content/player/230860.html","2014-2014","1"
"(IND)","RP Singh","https://stats.espncricinfo.com/ci/content/player/34057.html","1986-1986","2"
"(IND)","BB Sran","https://stats.espncricinfo.com/ci/content/player/537126.html","2016-2016","6"
"(NZ)","LW Stott","https://stats.espncricinfo.com/ci/content/player/38405.html","1979-1979","1"
"(NZ)","EP Thompson","https://stats.espncricinfo.com/ci/content/player/38626.html","2009-2009","1"
"(AUS)","AL Thomson","https://stats.espncricinfo.com/ci/content/player/7944.html","1971-1971","1"
"(ENG)","RW Tolchard","https://stats.espncricinfo.com/ci/content/player/21550.html","1979-1979","1"
"(IND)","JD Unadkat","https://stats.espncricinfo.com/ci/content/player/390484.html","2013-2023","8"
"(PAK)","Usman Qadir","https://stats.espncricinfo.com/ci/content/player/348152.html","2021-2021","1"
