"left","data-link","data-link href","left 2","data1","data1 2","data1 3","data1 4","data1 5","data1 6","data1 7","data1 8","data1 9","data1 10","data1 11"
"(IND)","SLV Raju","https://stats.espncricinfo.com/ci/content/player/33044.html","1990-1996","53","52","2770","2014","63","4/46","31.96","4.36","43.9","2","0"
"(AUS)","BA Reid","https://stats.espncricinfo.com/ci/content/player/7319.html","1986-1992","61","61","3250","2203","63","5/53","34.96","4.06","51.5","0","1"
"(PAK)","Sarfraz Nawaz","https://stats.espncricinfo.com/ci/content/player/42630.html","1973-1984","45","45","2412","1463","63","4/27","23.22","3.63","38.2","4","0"
"(AUS)","DE Bollinger","https://stats.espncricinfo.com/ci/content/player/4508.html","2009-2011","39","39","1942","1482","62","5/35","23.90","4.57","31.3","3","2"
"(AUS)","SW Tait","https://stats.espncricinfo.com/ci/content/player/8076.html","2007-2011","35","34","1688","1461","62","4/39","23.56","5.19","27.2","2","0"
"(BAN)","Syed Rasel","https://stats.espncricinfo.com/ci/content/player/56160.html","2005-2010","52","52","2657","2051","61","4/22","33.62","4.63","43.5","1","0"
"(NZ)","CJ Anderson","https://stats.espncricinfo.com/ci/content/player/277662.html","2013-2017","49","43","1485","1502","60","5/63","25.03","6.06","24.7","2","1"
"(ENG)","JC Tredwell","https://stats.espncricinfo.com/ci/content/player/21646.html","2010-2015","45","44","2104","1666","60","4/41","27.76","4.75","35.0","3","0"
"(ENG)","NA Foster","https://stats.espncricinfo.com/ci/content/player/12879.html","1984-1989","48","48","2627","1836","59","3/20","31.11","4.19","44.5","0","0"
"(AFG)","Hamid Hassan","https://stats.espncricinfo.com/ci/content/player/311427.html","2009-2019","38","37","1734","1330","59","5/45","22.54","4.60","29.3","2","1"
"(BAN)","Tapash Baisya","https://stats.espncricinfo.com/ci/content/player/56176.html","2002-2007","56","56","2608","2452","59","4/16","41.55","5.64","44.2","2","0"
"(BAN)","Shoriful Islam","https://stats.espncricinfo.com/ci/content/player/990039.html","2021-2024","40","40","1842","1707","58","4/21","29.43","5.56","31.7","3","0"
"(ENG)","GC Small","https://stats.espncricinfo.com/ci/content/player/20217.html","1987-1992","53","53","2793","1942","58","4/31","33.48","4.17","48.1","1","0"
"(AUS)","MJ Clarke","https://stats.espncricinfo.com/ci/content/player/4578.html","2003-2015","245","106","2585","2146","57","5/35","37.64","4.98","45.3","1","1"
"(AUS)","MR Marsh","https://stats.espncricinfo.com/ci/content/player/272450.html","2011-2024","93","70","2213","2036","57","5/33","35.71","5.52","38.8","1","1"
"(AUS)","GRJ Matthews","https://stats.espncricinfo.com/ci/content/player/6525.html","1984-1993","59","54","2808","2004","57","3/27","35.15","4.28","49.2","0","0"
"(NZ)","AF Milne","https://stats.espncricinfo.com/ci/content/player/450860.html","2012-2024","50","48","2242","2027","57","4/34","35.56","5.42","39.3","1","0"
"(IND)","DS Mohanty","https://stats.espncricinfo.com/ci/content/player/31025.html","1997-2001","45","44","1996","1662","57","4/56","29.15","4.99","35.0","1","0"
"(PAK)","Arshad Khan","https://stats.espncricinfo.com/ci/content/player/39005.html","1993-2006","58","56","2823","1948","56","4/33","34.78","4.14","50.4","1","0"
"(SA)","R Telemachus","https://stats.espncricinfo.com/ci/content/player/47539.html","1998-2006","37","37","1918","1565","56","4/43","27.94","4.89","34.2","1","0"
