"left","data-link","data-link href","left 2","data1","data1 2","data1 3","data1 4","data1 5","data1 6","data1 7","data1 8","data1 9"
"(AFG)","Hasti Gul","https://stats.espncricinfo.com/ci/content/player/320281.html","2009-2009","2","2","114","73","3","2/48","24.33","3.84","38.0"
"(IND)","DJ Hooda","https://stats.espncricinfo.com/ci/content/player/497121.html","2022-2022","10","6","150","119","3","1/6","39.66","4.76","50.0"
"(NZ)","GP Howarth","https://stats.espncricinfo.com/ci/content/player/37254.html","1975-1985","70","7","90","68","3","1/4","22.66","4.53","30.0"
"(PAK)","Inzamam-ul-Haq","https://stats.espncricinfo.com/ci/content/player/40570.html","1991-2007","375","6","58","64","3","1/0","21.33","6.62","19.3"
"(PAK)","Iqbal Sikander","https://stats.espncricinfo.com/ci/content/player/40574.html","1992-1992","4","4","210","147","3","1/30","49.00","4.20","70.0"
"(SA)","SD Jack","https://stats.espncricinfo.com/ci/content/player/45711.html","1994-1995","2","2","108","86","3","2/41","28.66","4.77","36.0"
"(AUS)","DM Jones","https://stats.espncricinfo.com/ci/content/player/6044.html","1984-1994","164","8","106","81","3","2/34","27.00","4.58","35.3"
"(PAK)","Junaid Zia","https://stats.espncricinfo.com/ci/content/player/40926.html","2003-2003","4","4","145","127","3","3/21","42.33","5.25","48.3"
"(PAK)","Kamran Hussain","https://stats.espncricinfo.com/ci/content/player/41058.html","2008-2008","2","2","102","67","3","2/32","22.33","3.94","34.0"
"(PAK)","Khushdil Shah","https://stats.espncricinfo.com/ci/content/player/716733.html","2020-2025","12","5","204","227","3","1/39","75.66","6.67","68.0"
"(SA)","GF Linde","https://stats.espncricinfo.com/ci/content/player/481875.html","2021-2021","2","2","90","72","3","2/32","24.00","4.80","30.0"
"(AUS)","RAL Massie","https://stats.espncricinfo.com/ci/content/player/6518.html","1972-1972","3","3","183","129","3","2/35","43.00","4.22","61.0"
"(AUS)","JM Mennie","https://stats.espncricinfo.com/ci/content/player/439288.html","2016-2016","2","2","120","131","3","3/49","43.66","6.55","40.0"
"(IND)","PL Mhambrey","https://stats.espncricinfo.com/ci/content/player/30999.html","1996-1998","3","3","126","120","3","2/69","40.00","5.71","42.0"
"(IND)","A Mithun","https://stats.espncricinfo.com/ci/content/player/310958.html","2010-2011","5","5","180","203","3","2/32","67.66","6.76","60.0"
"(PAK)","Mohammad Nazir","https://stats.espncricinfo.com/ci/content/player/41294.html","1980-1984","4","4","222","156","3","2/37","52.00","4.21","74.0"
"(IND)","T Natarajan","https://stats.espncricinfo.com/ci/content/player/802575.html","2020-2021","2","2","120","143","3","2/70","47.66","7.15","40.0"
"(AFG)","Naveed Zadran","https://stats.espncricinfo.com/ci/content/player/1276921.html","2024-2024","4","3","66","79","3","3/13","26.33","7.18","22.0"
"(AUS)","MG Neser","https://stats.espncricinfo.com/ci/content/player/376169.html","2018-2023","4","4","220","239","3","2/46","79.66","6.51","73.3"
"(SA)","D Olivier","https://stats.espncricinfo.com/ci/content/player/486679.html","2019-2019","2","2","114","124","3","2/73","41.33","6.52","38.0"
