"left","data-link","data-link href","left 2","data1","data1 2","data1 3","data1 4","data1 5","data1 6","data1 7","data1 8","data1 9","padDp2"
"(ENG)","TS Roland-Jones","https://stats.espncricinfo.com/ci/content/player/370535.html","2017-2017","1","1","42","34","1","1/34","34.00","4.85","42.0",""
"(SA)","RR Rossouw","https://stats.espncricinfo.com/ci/content/player/318845.html","2014-2016","36","3","45","44","1","1/17","44.00","5.86","45.0",""
"(PAK)","Saud Shakeel","https://stats.espncricinfo.com/ci/content/player/652687.html","2021-2025","16","3","47","37","1","1/14","37.00","4.72","47.0",""
"(AFG)","Sayed Shirzad","https://stats.espncricinfo.com/ci/content/player/524050.html","2019-2019","2","1","48","56","1","1/56","56.00","7.00","48.0",""
"(SA)","BN Schultz","https://stats.espncricinfo.com/ci/content/player/47165.html","1992-1992","1","1","54","35","1","1/35","35.00","3.88","54.0",""
"(PAK)","Shahnawaz Dahani","https://stats.espncricinfo.com/ci/content/player/1203995.html","2022-2022","2","2","96","73","1","1/36","73.00","4.56","96.0",""
"(PAK)","Shakeel Khan","https://stats.espncricinfo.com/ci/content/player/42652.html","1987-1987","1","1","54","50","1","1/50","50.00","5.55","54.0",""
"(SA)","M Shezi","https://stats.espncricinfo.com/ci/content/player/230860.html","2014-2014","1","1","36","8","1","1/8","8.00","1.33","36.0",""
"(IND)","LR Shukla","https://stats.espncricinfo.com/ci/content/player/34019.html","1999-1999","3","3","114","94","1","1/25","94.00","4.94","114.0",""
"(ENG)","K Shuttleworth","https://stats.espncricinfo.com/ci/content/player/20182.html","1971-1971","1","1","56","29","1","1/29","29.00","3.10","56.0",""
"(IND)","RK Singh","https://stats.espncricinfo.com/ci/content/player/723105.html","2023-2023","2","1","6","2","1","1/2","2.00","2.00","6.0",""
"(IND)","RP Singh","https://stats.espncricinfo.com/ci/content/player/34057.html","1986-1986","2","2","82","77","1","1/58","77.00","5.63","82.0",""
"(PAK)","Sohaib Maqsood","https://stats.espncricinfo.com/ci/content/player/43266.html","2013-2021","29","4","54","42","1","1/16","42.00","4.66","54.0",""
"(ENG)","VS Solanki","https://stats.espncricinfo.com/ci/content/player/20286.html","2000-2006","51","7","111","105","1","1/17","105.00","5.67","111.0",""
"(BAN)","Subashis Roy","https://stats.espncricinfo.com/ci/content/player/301847.html","2016-2016","1","1","60","45","1","1/45","45.00","4.50","60.0",""
"(PAK)","Tanvir Mehdi","https://stats.espncricinfo.com/ci/content/player/43274.html","1992-1992","1","1","66","72","1","1/72","72.00","6.54","66.0",""
"(PAK)","Taufeeq Umar","https://stats.espncricinfo.com/ci/content/player/43363.html","2001-2011","22","3","72","85","1","1/49","85.00","7.08","72.0",""
"(AUS)","AL Thomson","https://stats.espncricinfo.com/ci/content/player/7944.html","1971-1971","1","1","64","22","1","1/22","22.00","2.06","64.0",""
"(BAN)","Tushar Imran","https://stats.espncricinfo.com/ci/content/player/56186.html","2001-2007","41","5","126","103","1","1/24","103.00","4.90","126.0",""
"(AFG)","Usman Ghani","https://stats.espncricinfo.com/ci/content/player/711559.html","2014-2022","17","2","38","34","1","1/21","34.00","5.36","38.0",""
