"left","data-link","data-link href","left 2","data1","data1 2","data1 3","data1 4","data1 5","data1 7","padDp2 2"
"(PAK)","Yasir Hameed","https://stats.espncricinfo.com/ci/content/player/43656.html","2003-2007","56","3","18","26","0","8.66",""
"(BAN)","Zakir Hasan","https://stats.espncricinfo.com/ci/content/player/56166.html","1997-1997","1","1","12","17","0","8.50",""
"(BAN)","Zakir Hossain","https://stats.espncricinfo.com/ci/content/player/56173.html","1998-1998","1","1","24","18","0","4.50",""
"(AFG)","Zakiullah Zaki","https://stats.espncricinfo.com/ci/content/player/307657.html","2012-2012","1","1","24","27","0","6.75",""
"(PAK)","Zaman Khan","https://stats.espncricinfo.com/ci/content/player/1272475.html","2023-2023","1","1","36","39","0","6.50",""
"(AFG)","Zia-ur-Rehman","https://stats.espncricinfo.com/ci/content/player/633374.html","2023-2023","1","1","21","22","0","6.28",""
"(PAK)","Abdullah Shafique","https://stats.espncricinfo.com/ci/content/player/922941.html","2022-2024","21","-","-","-","-","-","-"
"(AFG)","Abdul Malik (1)","https://stats.espncricinfo.com/ci/content/player/1059030.html","2024-2024","4","-","-","-","-","-","-"
"(PAK)","Abid Ali","https://stats.espncricinfo.com/ci/content/player/39950.html","2019-2020","6","-","-","-","-","-","-"
"(ENG)","CJ Adams","https://stats.espncricinfo.com/ci/content/player/8487.html","1998-2000","5","-","-","-","-","-","-"
"(PAK)","Adnan Akmal","https://stats.espncricinfo.com/ci/content/player/39038.html","2011-2012","5","-","-","-","-","-","-"
"(AFG)","Afsar Zazai","https://stats.espncricinfo.com/ci/content/player/420402.html","2014-2017","17","-","-","-","-","-","-"
"(PAK)","Akhtar Sarfraz","https://stats.espncricinfo.com/ci/content/player/38986.html","1997-1998","4","-","-","-","-","-","-"
"(NZ)","FH Allen","https://stats.espncricinfo.com/ci/content/player/959759.html","2022-2023","22","-","-","-","-","-","-"
"(BAN)","Al Sahariar","https://stats.espncricinfo.com/ci/content/player/56219.html","1999-2003","29","-","-","-","-","-","-"
"(IND)","S Amarnath","https://stats.espncricinfo.com/ci/content/player/26226.html","1978-1978","3","-","-","-","-","-","-"
"(ENG)","TR Ambrose","https://stats.espncricinfo.com/ci/content/player/8845.html","2008-2008","5","-","-","-","-","-","-"
"(ENG)","DL Amiss","https://stats.espncricinfo.com/ci/content/player/8535.html","1972-1977","18","-","-","-","-","-","-"
"(SA)","HM Amla","https://stats.espncricinfo.com/ci/content/player/43906.html","2008-2019","181","-","-","-","-","-","-"
"(BAN)","Anamul Haque","https://stats.espncricinfo.com/ci/content/player/380354.html","2012-2024","49","-","-","-","-","-","-"
