"left","data-link","data-link href","left 2","data1"
"(SA)","LJ Koen","https://stats.espncricinfo.com/ci/content/player/45828.html","1997-2000","5"
"(IND)","P Krishnamurthy","https://stats.espncricinfo.com/ci/content/player/30135.html","1976-1976","1"
"(AUS)","BM Laird","https://stats.espncricinfo.com/ci/content/player/6250.html","1979-1982","23"
"(AUS)","JL Langer","https://stats.espncricinfo.com/ci/content/player/6256.html","1994-1997","8"
"(NZ)","TWM Latham","https://stats.espncricinfo.com/ci/content/player/388802.html","2012-2025","151"
"(AUS)","WM Lawry","https://stats.espncricinfo.com/ci/content/player/6270.html","1971-1971","1"
"(NZ)","WK Lees","https://stats.espncricinfo.com/ci/content/player/37605.html","1979-1983","31"
"(SA)","GFJ Liebenberg","https://stats.espncricinfo.com/ci/content/player/45984.html","1995-1998","4"
"(BAN)","Litton Das","https://stats.espncricinfo.com/ci/content/player/536936.html","2015-2024","94"
"(ENG)","GD Lloyd","https://stats.espncricinfo.com/ci/content/player/16320.html","1996-1998","6"
"(ENG)","TA Lloyd","https://stats.espncricinfo.com/ci/content/player/16322.html","1984-1984","3"
"(ENG)","JD Love","https://stats.espncricinfo.com/ci/content/player/16352.html","1981-1981","3"
"(ENG)","MB Loye","https://stats.espncricinfo.com/ci/content/player/16362.html","2007-2007","7"
"(ENG)","BW Luckhurst","https://stats.espncricinfo.com/ci/content/player/16370.html","1975-1975","3"
"(ENG)","MJ Lumb","https://stats.espncricinfo.com/ci/content/player/16406.html","2014-2014","3"
"(ENG)","MA Lynch","https://stats.espncricinfo.com/ci/content/player/16378.html","1988-1988","3"
"(AUS)","CA Lynn","https://stats.espncricinfo.com/ci/content/player/326637.html","2017-2018","4"
"(AUS)","RB McCosker","https://stats.espncricinfo.com/ci/content/player/6547.html","1975-1982","14"
"(NZ)","BB McCullum","https://stats.espncricinfo.com/ci/content/player/37737.html","2002-2016","260"
"(AUS)","BR McDermott","https://stats.espncricinfo.com/ci/content/player/603410.html","2021-2022","5"
