,runs,fours,sixes
MK Chhetri,74,9,0
AK Mandal,311,31,7
SP Gauchan,131,8,4
P Khadka,1312,131,41
MJ Paterlini,57,3,0
LM Paterlini,51,7,1
AG Dugmore,81,10,0
T Francis,61,5,0
GJ Savage,20,0,0
D Forrester,47,6,0
HP Patrizi,57,1,4
NM Northcote,41,5,0
AM Northcote,195,24,1
PA Petricola,398,35,5
DG Crowley,798,87,10
MGDCK Fernando,21,3,0
A Bonora,330,24,3
MG Raso,165,17,2
HS Jayasena,44,7,0
GRD Munasinghe,110,11,1
DSF Arsakulasuriya,25,4,1
P Ferguson,31,3,1
RM Siri,57,1,0
A Ferguson,114,10,5
EA MacDermott,49,5,0
DM Lord,12,0,0
PS Airee,215,24,9
OM Baker,105,11,1
SJ Massiah,363,34,12
CD Wright,49,6,1
LJ Cush,213,30,7
SS Nadkarni,292,22,11
A Thyagarajan,214,21,1
RA Marshall,201,15,11
Usman Shuja,22,1,1
Muhammad Ghous,27,2,0
A Gordon,9,1,0
S Vesawkar,844,59,9
G Malla,1125,111,6
B Regmi,193,12,0
BK Das,28,1,2
RK Vishwakarma,11,0,0
A Bhattarai,6,0,1
S Khalifa,61,9,1
E Kiongozi,27,1,0
IJ Kikasi,62,6,1
HH Abdallah,164,7,1
K Nassoro,261,31,0
KZ Rehmtullah,43,1,2
B Mwita,99,10,3
R Amiri,8,1,0
RK Kiseto,72,4,0
H Ramaiya,3,0,0
AM Kimote,59,5,1
RA Sealy,274,31,7
J Linton,12,1,0
PI Best,15,2,0
SA Mohamed,44,4,2
RD Bovell,161,15,5
Ronald Ebanks,74,10,0
P Chin,7,0,0
KF Bazil,5,1,0
C Wright,220,19,10
A Morris,40,4,1
MO Bryan,12,1,0
SR Taylor,871,91,37
C Gibson,45,1,0
AL Casime,7,0,0
TA Kurukulasuriya,9,1,0
RS Abeywickrama,24,2,0
RN Roach,71,7,0
CR Pedersen,81,11,0
Shehzad Ahmed,120,10,0
A Lambert,137,15,1
Rizwan Mahmood,198,12,4
MR Pedersen,193,14,2
HAM Shah,1380,107,22
Aftab Ahmed (2),242,22,11
Bashir Shah,56,2,1
HS Hansen,12,2,0
AB Chawla,34,7,0
L Slebsager,9,1,0
N Mapunda,75,7,0
AR Patwa,404,44,6
FA Klokker,895,89,7
A Mishra,21,2,1
TP Allen,398,22,26
ZR Jaboneke,12,2,0
SP Khakurel,526,54,6
