,wickets,extras
SP Gauchan,45,13
P Khadka,38,50
MJ Paterlini,1,4
LM Paterlini,1,11
GJ Savage,3,12
D Forrester,0,3
AM Northcote,0,1
PA Petricola,7,12
DG Crowley,16,7
A Bonora,1,2
HS Jayasena,4,6
GRD Munasinghe,19,52
DSF Arsakulasuriya,10,14
EA MacDermott,2,4
DM Lord,6,27
PS Airee,0,2
OM Baker,8,9
SJ Massiah,4,28
LJ Cush,7,9
A Thyagarajan,0,0
Usman Shuja,22,21
Muhammad Ghous,17,9
A Gordon,8,21
S Vesawkar,9,14
B Regmi,84,53
BK Das,4,15
RK Vishwakarma,8,10
A Bhattarai,16,36
S Khalifa,1,5
HH Abdallah,5,4
K Nassoro,14,11
KZ Rehmtullah,11,44
B Mwita,4,14
RK Kiseto,7,13
H Ramaiya,2,1
AM Kimote,10,42
SA Mohamed,0,7
RD Bovell,4,19
Ronald Ebanks,5,24
KF Bazil,5,8
C Wright,9,38
A Morris,10,24
MO Bryan,3,20
SR Taylor,10,20
AL Casime,2,12
RS Abeywickrama,1,2
RN Roach,3,2
MR Pedersen,7,6
HAM Shah,23,34
Aftab Ahmed (2),22,39
Bashir Shah,44,22
HS Hansen,0,4
AB Chawla,5,4
L Slebsager,4,7
N Mapunda,1,1
AR Patwa,1,3
FA Klokker,0,0
TP Allen,16,42
ZR Jaboneke,1,11
Hammadullah Khan,0,5
Suharril Fetri,28,33
Khizar Hayat,38,35
Nik Arifin,0,0
Hassan Ghulam,23,45
S Regmi,12,20
RG Corns,2,1
EH Hutchinson,14,57
P Baskota,1,2
A Mutreja,1,4
CR Suryawanshi,13,36
CR Kumarage,2,1
AE Paraam,16,13
C Janik,8,4
Saad Janjua,20,49
M Dharmichand,39,66
Kumar Subba,2,2
D Dorji,1,1
SR Gurung,0,7
S Tobgay,2,13
J Singye,6,4
S Pradhan,11,13
P Wangdi,1,1
B Wakhley,2,11
L Yonten,3,12
DK Subba,5,15
S Cotter,2,1
BF Mailata,4,5
DE Burgess,5,6
F Mulivai,3,13
Zeeshan Siddiqui,5,5
Safir Hayat,0,8
M Shahbaz Butt,2,5
Ali Saleem,0,5
Tafseer Ali,5,14
IC West,4,1
T Alatasi,6,17
W Mariner,1,3
N Vaasili,5,10
BS Bartley,1,3
NC McGarrell,4,3
DC Stovell,24,27
JJ Tucker,19,25
J Anderson,1,0
T Gibbons,0,3
MO Jones,12,24
RJ Trott,9,5
RJ Robinson,5,16
A Ramesh,0,1
Jatinder Singh,2,2
Aamir Kaleem,24,18
Amir Ali,21,30
RJ Ranpura,21,29
HJ Mehta,5,6
M Ansari,27,99
T Manders,2,5
DA Marage,5,0
CS Sandri,25,27
Fida Hussain,2,2
V Pennazza,14,33
L di Giglio,6,24
RG Mukasa,28,21
D Muhumuza,7,22
DK Arinaitwe,18,42
RG Okia,0,4
F Nsubuga,48,37
J Sebanja,17,41
B Masaba,11,8
AV Lalcheta,40,23
C Waiswa,8,16
OR Willis,0,2
KR Ebanks,3,28
T Taylor,12,35
N Sellars,0,1
E Ofem,0,4
AP Adegbola,2,10
LJ Barker,0,1
OE Newey,17,24
L Savident,1,10
MWR Stokes,7,28
JAJ Nussbaumer,14,29
LB Ferbrache,1,1
DR Hooper,20,21
W Peatfield,3,5
LC Le Tissier,7,17
MLA Ellis,18,11
NAT Watkins,29,51
PW Gough,0,1
BDH Stevens,39,34
AW Hawkins-Kay,29,77
CJ Bodenstein,28,42
CW Perchard,43,77
TE Minty,6,4
AA Onikoyi,0,3
OJ Bejide,1,5
AM Oyede,1,3
O Onwuzulike,0,1
OA Olympio,9,11
SO Akolade,4,15
JO Ogunlola,4,4
Salman Faris,1,0
Khurram Khan,10,12
Shaiman Anwar,0,0
Krishna Chandran,2,1
Mohammad Shahzad,2,5
Fayyaz Ahmed,6,1
Mohammad Naveed,21,40
Kamran Shazad,1,21
Noor-ul-Amin,0,2
M Alam,14,15
Zeeshan Maqsood,32,35
Arif Hussain,1,1
Khawar Ali,38,22
Nasir Shafiq,11,8
S Navaratnam,14,36
Shahrulnizam Yusof,28,7
Pavandeep Singh,37,73
Muhammad Wafiq,18,53
Irfan Ahmed,8,5
Nizakat Khan,4,3
Waqas Barkat,1,2
Tanwir Afzal,12,22
Haseeb Amjad,0,4
Nadeem Ahmed,15,13
Ehsan Nawaz,5,33
JPR Lamsam,0,0
Irfan Sajid,0,0
HB Ralalage,4,7
J Chaturanga,2,10
Adnan Butt,0,0
Mirza Baig,2,0
Adil Hanif,4,0
Mirza Yaqoob,1,0
Azeem ul Haq,2,5
Anasim Khan,0,5
Yaser Sadeq,1,2
Huzaifa Akram,2,4
Abdullah Shahid,4,3
Ahmed Hassan,2,1
AD de Lange,0,0
A Goenka,1,1
Abhiraj Singh,44,16
Amjad Mahboob,61,159
Abid Mushtaq,1,7
Mohammed Irfan,21,23
Hisham Mirza,5,10
Ali Zaheer,2,8
Mohammad Amin,0,5
Mohamed Rifkas,1,3
Saad Khalid,6,11
Abdul Jabar,7,10
Abdullah Akhunzada,5,2
Faizan Ali,5,29
Ibrarul Haq,13,50
Hammad Saeed,8,5
Shahbaz Rasheed,2,9
Afzal Saleem,2,2
T Jamtsho,9,36
T Wangchuk,10,7
K Penjor,2,16
Ubaid Minhas,0,0
Rashid Hussain,1,11
Mudassar Ali,2,2
Ibrahim Hassan,5,12
Mihusan Hamid,1,5
Mohamed Mahfooz,6,1
S Saeed,3,8
Ahmed Jamaal,1,1
S Appusamy,6,14
Abdullah Qureshi,1,0
Mohammad Abdullah,0,3
Nadeem Javed,5,8
Akram Aslam,2,8
Zishan Shah,3,2
Kamran Mahmood,1,1
A Khan,14,38
Yasir Iqbal,6,9
A Bulow,8,23
Adnan Ilyas,1,3
BBJL Perera,2,2
WTN Fernando,1,2
JW Jenner,2,3
SSJ Dewhurst,0,0
Mohammad Shukri,5,13
MGSM Fernando,8,5
S Vijayakumar,16,7
RB Javed,16,37
JN Duckett,0,2
Sufyan Mehmood,4,16
NP Rodrigo,0,2
Sagar Pun,23,14
Sompal Kami,62,131
C Burgess,0,0
AC Douglas,1,11
KS Leverock,12,47
DMW Rawlins,24,35
TK Patel,25,12
D Talbot,1,0
K Ganesh,7,5
Adil Bhatti,3,9
JJC Lawson,5,17
H Ssenyondo,51,23
Mohamed Shoib,0,5
Danial Ahmed,7,22
D Ruyange,0,1
OGL Bascome,0,1
JA DeSilva,13,21
KE Bashir,0,5
Aarif Sheikh,3,1
Suleman,0,5
P Ochan,7,16
Karan KC,20,38
SJ Myburgh,0,1
PW Borren,11,20
MJG Rippon,32,29
PM Seelaar,12,9
Mudassar Bukhari,20,43
Ahsan Malik,25,25
NR Kumar,17,30
R Gunasekera,3,3
AS Hansra,5,5
NS Dhaliwal,11,19
Rizwan Cheema,10,15
N Dutta,52,25
SS Dhindsa,23,32
PA Desai,9,10
C Pervez,24,69
NN Odhiambo,22,64
CO Obuya,20,33
NK Patel,2,4
RR Patel,19,21
NM Odhiambo,41,69
LN Oluoch,34,80
SO Ngoche,50,26
E Otieno,24,51
JO Ngoche,10,10
SJ Baard,3,7
G Snyman,18,35
MG Erasmus,5,12
CG Williams,37,50
R van Schoor,3,2
SF Burger,32,44
NRP Scholtz,2,4
PA van Meekeren,67,208
VJ Kingma,11,58
JJ Smit,35,74
L Klazinga,13,40
BM Scholtz,38,32
CF Snyman,7,6
D Soraine,4,9
MR Swart,1,5
L Siaka,0,0
A Vala,15,9
S Bau,10,7
MD Dai,8,11
JB Reva,13,13
CA Soper,14,19
N Vanua,24,57
WT Gavera,3,7
Amjad Javed,12,38
Ahmed Raza,30,20
Mohammad Tauqir,0,0
AM Guruge,6,5
YSD Seneveratne,1,1
A Wright,1,0
R Tari,1,0
J Rasu,11,34
J Dunn,0,0
N Nipiko,45,93
A Mansale,21,36
SH Obed,17,10
PK Matautaava,54,80
Raza Iqbal,4,5
S Waqas Ahmed,9,5
PK Thangavadivel,1,2
D Crawford,5,7
TJ Ravenscroft,8,20
K Modise,4,3
Ameer Saiyed,1,5
JWN Moses,7,2
T Tshose,9,13
A Rangaswamy,7,29
D Maisuria,10,4
R Withey,4,6
T Nightingale,4,5
W Fazakerley,4,28
MC Patandin,14,3
G Singh,11,6
SA Drepaul,3,14
AK Gokoel,2,28
YP Dayal,5,5
BB Bailey,4,13
Shehraz Khalid,0,3
Jawad Mir,5,0
JW Chilia,35,39
N Unavalu,4,13
WA Haslim,1,0
RE van der Merwe,68,66
Bikram Sob,1,1
Aqib Ilyas,5,3
Mohammad Nadeem,18,45
Rohan Mustafa,32,21
Farhan Ahmed,2,4
T van der Gugten,65,110
HN Ya France,0,5
Z Groenewald,7,18
Jitin Singh,8,8
A Cassim,3,2
A Dagar,13,12
GH Smit,0,1
Mehran Khan,0,0
JO Adedeji,6,6
CN Onwuzulike,8,19
IO Okpe,9,20
AS Abioye,10,16
A Mpeka,2,9
AL Stephen,28,50
Azeez Salako,1,1
J Butler,0,4
A Hutchinson,3,5
DM Gondaria,7,14
Gurdeep Singh,0,0
CJA Amini,8,13
EB Ringera,26,60
S Lamichhane,36,35
JN Frylinck,21,33
C Peake,0,1
OL Pitcher,1,2
BJ Hall,2,0
GH Maybury,4,12
C Outerbridge,16,29
RJG Palmer,4,8
B Kynman,18,37
SA Ahmad,52,45
Manpreet Singh,7,17
MMBRSTC Wanigaratne,3,1
GP Meade,7,10
