"left","data-link","data-link href","left 2","data1","data1 2","data1 3","data1 4","data1 5","data1 6","data1 7","data1 8","data1 9"
"(NZ)","KA Jamieson","https://stats.espncricinfo.com/ci/content/player/625960.html","2020-2023","13","12","2","2","0","0","2","2 (2ct 0st)","0.166"
"(AUS)","JJ Krejza","https://stats.espncricinfo.com/ci/content/player/6235.html","2011-2011","8","8","2","2","0","0","2","1 (1ct 0st)","0.250"
"(IND)","P Krishnamurthy","https://stats.espncricinfo.com/ci/content/player/30135.html","1976-1976","1","1","2","1","1","1","0","2 (1ct 1st)","2.000"
"(AUS)","MP Kuhnemann","https://stats.espncricinfo.com/ci/content/player/774219.html","2022-2022","4","4","2","2","0","0","2","2 (2ct 0st)","0.500"
"(IND)","DS Kulkarni","https://stats.espncricinfo.com/ci/content/player/277955.html","2014-2016","12","12","2","2","0","0","2","1 (1ct 0st)","0.166"
"(IND)","NM Kulkarni","https://stats.espncricinfo.com/ci/content/player/30149.html","1997-1998","10","10","2","2","0","0","2","1 (1ct 0st)","0.200"
"(IND)","RR Kulkarni","https://stats.espncricinfo.com/ci/content/player/30151.html","1983-1987","10","10","2","2","0","0","2","1 (1ct 0st)","0.200"
"(AUS)","B Laughlin","https://stats.espncricinfo.com/ci/content/player/315623.html","2009-2009","5","5","2","2","0","0","2","1 (1ct 0st)","0.400"
"(ENG)","P Lever","https://stats.espncricinfo.com/ci/content/player/16262.html","1971-1975","10","9","2","2","0","0","2","1 (1ct 0st)","0.222"
"(ENG)","GD Lloyd","https://stats.espncricinfo.com/ci/content/player/16320.html","1996-1998","6","6","2","2","0","0","2","1 (1ct 0st)","0.333"
"(AUS)","SCG MacGill","https://stats.espncricinfo.com/ci/content/player/6441.html","2000-2000","3","3","2","2","0","0","2","1 (1ct 0st)","0.666"
"(NZ)","BJ McKechnie","https://stats.espncricinfo.com/ci/content/player/37707.html","1975-1981","14","14","2","2","0","0","2","1 (1ct 0st)","0.142"
"(AUS)","KH MacLeay","https://stats.espncricinfo.com/ci/content/player/6453.html","1983-1987","16","16","2","2","0","0","2","1 (1ct 0st)","0.125"
"(SA)","SSB Magala","https://stats.espncricinfo.com/ci/content/player/379776.html","2021-2023","8","8","2","2","0","0","2","1 (1ct 0st)","0.250"
"(AUS)","JN Maguire","https://stats.espncricinfo.com/ci/content/player/6460.html","1983-1984","23","21","2","2","0","0","2","1 (1ct 0st)","0.095"
"(BAN)","Mahedi Hasan","https://stats.espncricinfo.com/ci/content/player/833087.html","2021-2023","11","11","2","2","0","0","2","1 (1ct 0st)","0.181"
"(BAN)","Minhajul Abedin","https://stats.espncricinfo.com/ci/content/player/55971.html","1986-1999","27","27","2","2","0","0","2","1 (1ct 0st)","0.074"
"(PAK)","Mohammad Khalil","https://stats.espncricinfo.com/ci/content/player/41452.html","2005-2005","3","3","2","2","0","0","2","1 (1ct 0st)","0.666"
"(AFG)","Mohibullah Oryakhel","https://stats.espncricinfo.com/ci/content/player/524044.html","2013-2013","2","2","2","2","0","0","2","1 (1ct 0st)","1.000"
"(ENG)","JE Morris","https://stats.espncricinfo.com/ci/content/player/17102.html","1990-1991","8","8","2","2","0","0","2","1 (1ct 0st)","0.250"
