"left","data-link","data-link href","left 2","data1","data1 2"
"(IND)","D Ganesh","https://stats.espncricinfo.com/ci/content/player/28774.html","1997-1997","1","1"
"(IND)","RS Ghai","https://stats.espncricinfo.com/ci/content/player/28808.html","1984-1986","6","6"
"(BAN)","Gholam Nousher","https://stats.espncricinfo.com/ci/content/player/55898.html","1986-1990","9","9"
"(PAK)","Ghulam Ali","https://stats.espncricinfo.com/ci/content/player/40305.html","1993-1995","3","3"
"(BAN)","Golam Faruq","https://stats.espncricinfo.com/ci/content/player/55897.html","1986-1990","5","5"
"(IND)","MS Gony","https://stats.espncricinfo.com/ci/content/player/317293.html","2008-2008","2","2"
"(ENG)","L Gregory","https://stats.espncricinfo.com/ci/content/player/362201.html","2021-2021","3","3"
"(PAK)","Haafiz Shahid","https://stats.espncricinfo.com/ci/content/player/40369.html","1988-1988","3","3"
"(NZ)","BG Hadlee","https://stats.espncricinfo.com/ci/content/player/37220.html","1975-1975","2","2"
"(ENG)","SR Hain","https://stats.espncricinfo.com/ci/content/player/555850.html","2023-2023","2","1"
"(NZ)","LJ Hamilton","https://stats.espncricinfo.com/ci/content/player/37228.html","2005-2005","2","2"
"(AUS)","JR Hammond","https://stats.espncricinfo.com/ci/content/player/5569.html","1972-1972","1","1"
"(ENG)","JH Hampshire","https://stats.espncricinfo.com/ci/content/player/14024.html","1971-1972","3","3"
"(IND)","Harshit Rana","https://stats.espncricinfo.com/ci/content/player/1312645.html","2025-2025","3","3"
"(NZ)","RT Hart","https://stats.espncricinfo.com/ci/content/player/37240.html","1985-1985","1","1"
"(ENG)","TW Hartley","https://stats.espncricinfo.com/ci/content/player/1150772.html","2023-2023","2","1"
"(BAN)","Harunur Rashid","https://stats.espncricinfo.com/ci/content/player/55912.html","1988-1988","2","2"
"(AUS)","SM Harwood","https://stats.espncricinfo.com/ci/content/player/5605.html","2009-2009","1","1"
"(NZ)","MJ Haslam","https://stats.espncricinfo.com/ci/content/player/37241.html","1992-1992","1","1"
"(AFG)","Hasti Gul","https://stats.espncricinfo.com/ci/content/player/320281.html","2009-2009","2","2"
