"left","data-link","data-link href","left 2","data1","data1 2","data1 3","data1 9"
"(ENG)","M Watkinson","https://stats.espncricinfo.com/ci/content/player/22328.html","1996-1996","1","1","0","0.000"
"(AUS)","GD Watson","https://stats.espncricinfo.com/ci/content/player/8176.html","1972-1972","2","2","0","0.000"
"(NZ)","RJ Webb","https://stats.espncricinfo.com/ci/content/player/38746.html","1983-1983","3","3","0","0.000"
"(ENG)","AP Wells","https://stats.espncricinfo.com/ci/content/player/22361.html","1995-1995","1","1","0","0.000"
"(ENG)","CM Wells","https://stats.espncricinfo.com/ci/content/player/22363.html","1985-1985","2","2","0","0.000"
"(AUS)","DF Whatmore","https://stats.espncricinfo.com/ci/content/player/8210.html","1980-1980","1","1","0","0.000"
"(SA)","D Wiese","https://stats.espncricinfo.com/ci/content/player/221140.html","2015-2016","6","6","0","0.000"
"(SA)","LB Williams","https://stats.espncricinfo.com/ci/content/player/379887.html","2021-2024","7","7","0","0.000"
"(SA)","CM Willoughby","https://stats.espncricinfo.com/ci/content/player/47903.html","2000-2003","3","3","0","0.000"
"(ENG)","L Wood","https://stats.espncricinfo.com/ci/content/player/573170.html","2022-2023","2","1","0","0.000"
"(AUS)","AJ Woodcock","https://stats.espncricinfo.com/ci/content/player/8244.html","1974-1974","1","1","0","0.000"
"(NZ)","LJ Woodcock","https://stats.espncricinfo.com/ci/content/player/38920.html","2011-2011","4","4","0","0.000"
"(IND)","T Yohannan","https://stats.espncricinfo.com/ci/content/player/36080.html","2002-2002","3","3","0","0.000"
"(PAK)","Zafar Gohar","https://stats.espncricinfo.com/ci/content/player/348154.html","2015-2015","1","1","0","0.000"
"(PAK)","Zahid Ahmed","https://stats.espncricinfo.com/ci/content/player/43696.html","1987-1987","2","2","0","0.000"
"(PAK)","Zahid Mahmood","https://stats.espncricinfo.com/ci/content/player/433614.html","2022-2022","4","4","0","0.000"
"(BAN)","Zahid Razzak","https://stats.espncricinfo.com/ci/content/player/56165.html","1988-1990","3","3","0","0.000"
"(AFG)","Zahir Khan","https://stats.espncricinfo.com/ci/content/player/712219.html","2019-2019","1","1","0","0.000"
"(BAN)","Zakir Hasan","https://stats.espncricinfo.com/ci/content/player/56166.html","1997-1997","1","1","0","0.000"
"(BAN)","Zakir Hossain","https://stats.espncricinfo.com/ci/content/player/56173.html","1998-1998","1","1","0","0.000"
