,runs,fours,sixes
CH Gayle,6433,670,254
XM Marshall,379,41,4
RR Sarwan,3717,316,38
S Chanderpaul,3804,292,40
SE Findlay,88,9,2
D Ramdin,2072,153,31
KA Pollard,2608,165,129
JE Taylor,258,29,5
DBL Powell,105,4,5
NO Miller,279,23,4
FH Edwards,70,5,0
JD Ryder,1242,141,33
BB McCullum,5157,490,172
LRPL Taylor,8126,674,133
JM How,939,105,7
DR Flynn,167,19,1
H Masakadza,3955,420,57
V Sibanda,2125,235,25
S Matsikenyeri,1309,131,10
T Taibu,2837,196,32
SC Williams,4274,393,49
E Chigumbura,3266,264,73
KM Dabengwa,364,20,6
P Utseya,1114,76,11
RW Price,315,26,4
T Mupariwa,87,7,2
EC Rainsford,31,1,0
Tamim Iqbal,7648,841,96
Junaid Siddique,1021,95,16
Mushfiqur Rahim,7094,568,94
Mohammad Ashraful,2301,241,15
Shakib Al Hasan,6638,620,51
Raqibul Hasan,1177,89,8
Mehrab Hossain jnr,183,17,0
Naeem Islam,842,73,12
Mashrafe Mortaza,1304,108,42
Mahbubul Alam,81,3,4
Nazmul Hossain,15,0,0
WU Tharanga,6482,742,52
KC Sangakkara,11618,1120,77
ST Jayasuriya,4402,515,89
DPMD Jayawardene,8040,740,52
CK Kapugedera,1505,100,28
J Mubarak,531,43,3
AD Mathews,5646,454,85
KMDN Kulasekara,1323,95,39
T Thushara,357,31,7
M Muralitharan,317,30,7
BAW Mendis,185,16,2
SE Marsh,2622,231,31
MEK Hussey,5076,354,70
RT Ponting,6979,665,93
MJ Clarke,6988,578,45
DJ Hussey,1672,122,24
CL White,2053,145,44
BJ Haddin,3003,283,70
JR Hopes,1326,123,6
NW Bracken,174,11,3
BW Hilfenhaus,29,2,0
HH Gibbs,3766,414,72
HM Amla,7834,796,49
JH Kallis,4929,417,53
JP Duminy,4928,342,67
ND McKenzie,182,16,0
MV Boucher,2617,199,55
VB van Jaarsveld,9,0,0
JA Morkel,705,64,22
J Botha,594,53,3
DA Warner,6623,701,125
RJ Harris,48,3,1
AB de Villiers,9435,825,200
TM Dilshan,9212,1022,50
MF Maharoof,799,60,17
Khurram Manzoor,206,20,0
Salman Butt,2186,274,7
Younis Khan,4777,388,36
Shoaib Malik,5981,475,93
SHT Kandamby,827,68,0
Misbah-ul-Haq,4752,319,76
Shahid Afridi,3913,341,177
Kamran Akmal,2746,316,32
Sohail Tanvir,399,44,6
Umar Gul,442,35,13
Iftikhar Anjum,203,12,3
Shoaib Akhtar,217,14,10
CB Mpofu,40,0,0
MG Johnson,934,80,22
NM Hauritz,295,20,6
SW Tait,25,3,1
Sohail Khan,25,2,0
Saeed Ajmal,323,25,0
G Gambhir,4981,527,17
SR Tendulkar,6432,774,60
SK Raina,5585,475,120
Yuvraj Singh,6868,722,133
MS Dhoni,10274,787,210
RG Sharma,10648,991,325
V Sehwag,5692,760,106
YK Pathan,810,62,43
Z Khan,531,47,16
P Kumar,292,25,7
SR Waters,67,7,0
AA Obanda,487,56,8
KO Otieno,250,29,4
SO Tikolo,705,75,6
MA Ouma,468,49,2
JK Kamande,171,13,1
CO Obuya,737,58,15
RR Patel,168,13,2
RL Bhudia,22,1,1
NN Odhiambo,189,19,1
PJ Ongondo,150,9,4
MN Waller,1039,106,10
F Mutizwa,183,11,3
PG Fulton,1216,104,18
MJ Guptill,7125,734,184
GD Elliott,1913,149,27
NT Broom,919,78,10
KD Mills,871,65,35
DL Vettori,1450,118,8
TG Southee,715,56,25
JS Patel,91,5,2
CRD Fernando,170,17,2
CJ Ferguson,663,64,0
RA Jadeja,2743,200,54
IK Pathan,1226,117,29
L Balaji,104,8,3
I Sharma,72,6,0
IE O'Brien,3,0,0
CD Cumming,42,5,0
BJ Diamanti,26,3,0
JDP Oram,1546,115,51
IG Butler,78,6,2
PD McGlashan,63,6,1
Harbhajan Singh,917,63,28
AJ Strauss,3729,400,25
RS Bopara,2689,204,34
KP Pietersen,4202,402,71
OA Shah,1579,124,26
PD Collingwood,4132,297,60
AD Mascarenhas,245,12,13
MJ Prior,1229,132,6
SCJ Broad,509,35,10
GJ Batty,25,1,0
LMP Simmons,1958,162,50
DJ Bravo,2760,219,53
A Flintoff,2096,205,54
JM Anderson,254,22,0
DJG Sammy,1853,144,84
LS Baker,11,2,0
GM Hamilton,173,13,1
RR Watson,239,32,2
KJ Coetzer,2280,290,30
NS Poonia,12,0,0
CJO Smith,157,23,0
NFI McCallum,233,22,5
CM Wright,81,4,1
MM Iqbal,16,0,0
JH Stander,34,0,3
WTS Porterfield,2670,274,27
GC Wilson,1232,105,14
EJG Morgan,6953,600,190
NJ O'Brien,1692,140,25
AC Botha,265,28,2
R Rampaul,338,31,13
SJ Benn,182,19,3
GC Smith,5280,588,38
M Morkel,268,24,7
DW Steyn,365,35,9
M Ntini,101,7,4
B Laughlin,1,0,0
JM Davison,443,50,15
GEF Barnett,95,10,0
Rizwan Cheema,196,23,9
IS Billcliff,223,22,3
A Bagai,614,63,1
S Dhaniram,281,23,4
S Jyoti,19,0,1
U Bhatti,120,10,3
Khurram Chohan,77,5,2
JAR Blain,67,2,2
CS MacLeod,2015,207,26
JD Nel,6,1,0
RE van der Merwe,173,13,6
B Geeves,10,1,0
SM Harwood,0,0,0
SR Watson,5357,542,123
A Symonds,3589,304,73
SR Clark,69,6,1
Nasir Jamshed,1418,150,19
Ahmed Shehzad,2555,262,18
Yasir Arafat,64,7,1
