,wickets,extras
CH Gayle,112,206
XM Marshall,0,5
RR Sarwan,16,19
S Chanderpaul,0,1
KA Pollard,59,111
JE Taylor,124,264
DBL Powell,51,159
NO Miller,34,49
FH Edwards,53,221
JD Ryder,11,23
LRPL Taylor,0,8
DR Flynn,0,0
H Masakadza,22,50
V Sibanda,4,11
S Matsikenyeri,15,25
T Taibu,0,2
SC Williams,76,152
E Chigumbura,88,297
KM Dabengwa,15,26
P Utseya,104,151
RW Price,87,117
T Mupariwa,39,75
EC Rainsford,17,65
Tamim Iqbal,0,1
Junaid Siddique,77,185
Mohammad Ashraful,8,13
Shakib Al Hasan,280,272
Mehrab Hossain jnr,3,2
Naeem Islam,34,44
Mashrafe Mortaza,227,454
Mahbubul Alam,8,23
Nazmul Hossain,30,35
ST Jayasuriya,105,135
DPMD Jayawardene,2,6
CK Kapugedera,2,8
J Mubarak,1,0
AD Mathews,137,197
KMDN Kulasekara,213,386
T Thushara,50,130
M Muralitharan,209,313
BAW Mendis,144,184
MEK Hussey,4,12
MJ Clarke,56,101
DJ Hussey,19,27
CL White,11,31
JR Hopes,73,97
NW Bracken,168,194
BW Hilfenhaus,33,86
JH Kallis,102,175
JP Duminy,74,125
JA Morkel,50,104
J Botha,77,142
DA Warner,0,0
RJ Harris,46,45
AB de Villiers,7,17
TM Dilshan,97,128
MF Maharoof,118,194
Salman Butt,0,3
Younis Khan,1,12
Shoaib Malik,133,326
SHT Kandamby,2,5
Misbah-ul-Haq,0,0
Shahid Afridi,259,464
Sohail Tanvir,75,281
Umar Gul,170,425
Iftikhar Anjum,73,100
Shoaib Akhtar,104,353
CB Mpofu,66,233
MG Johnson,243,589
NM Hauritz,56,107
SW Tait,66,255
Sohail Khan,19,39
Saeed Ajmal,181,242
G Gambhir,0,2
SR Tendulkar,31,105
SK Raina,42,53
Yuvraj Singh,99,96
MS Dhoni,1,3
RG Sharma,11,9
V Sehwag,58,120
YK Pathan,37,53
Z Khan,211,578
P Kumar,86,193
SO Tikolo,28,50
JK Kamande,13,52
CO Obuya,21,52
RR Patel,2,0
RL Bhudia,1,0
NN Odhiambo,24,78
PJ Ongondo,34,79
MN Waller,9,22
MJ Guptill,4,9
GD Elliott,38,60
KD Mills,203,253
DL Vettori,208,171
TG Southee,230,396
JS Patel,44,50
CRD Fernando,116,359
RA Jadeja,235,203
IK Pathan,156,333
L Balaji,28,90
I Sharma,125,194
IE O'Brien,16,19
BJ Diamanti,0,0
JDP Oram,132,210
IG Butler,16,35
Harbhajan Singh,190,397
AJ Strauss,0,0
RS Bopara,41,111
KP Pietersen,8,18
OA Shah,7,8
PD Collingwood,96,154
AD Mascarenhas,13,35
SCJ Broad,198,330
GJ Batty,4,4
LMP Simmons,1,11
DJ Bravo,193,357
A Flintoff,132,261
JM Anderson,268,581
DJG Sammy,87,139
LS Baker,7,10
RR Watson,3,1
KJ Coetzer,1,1
CM Wright,8,18
MM Iqbal,0,0
JH Stander,2,8
AC Botha,16,12
R Rampaul,115,250
SJ Benn,38,64
GC Smith,19,47
M Morkel,195,426
DW Steyn,212,381
M Ntini,148,179
B Laughlin,4,7
JM Davison,19,16
Rizwan Cheema,12,13
S Dhaniram,23,9
U Bhatti,12,34
Khurram Chohan,20,20
JAR Blain,14,27
CS MacLeod,8,77
JD Nel,3,11
RE van der Merwe,38,48
B Geeves,3,6
SM Harwood,2,4
SR Watson,162,252
A Symonds,83,151
SR Clark,51,97
Ahmed Shehzad,2,1
Yasir Arafat,2,32
MJ North,0,0
TT Bresnan,120,229
RS Morton,0,0
DE Bernard,10,58
RP Singh,75,214
A Nehra,115,217
Mahmudullah,83,170
Abdur Razzak,176,352
Syed Rasel,53,108
Rubel Hossain,128,229
ADS Fletcher,0,0
DS Smith,0,1
RN Lewis,8,9
KAJ Roach,132,271
NT Pascal,0,5
TT Samaraweera,1,0
SL Malinga,343,843
Mohammad Yousuf,1,0
Fawad Alam,6,6
Abdul Razzaq,110,247
Mohammad Amir,88,160
DC Thomas,2,2
GC Tonge,6,12
Naved-ul-Hasan,100,195
HMCM Bandara,30,32
KTGD Prasad,31,54
Enamul Haque jnr,15,11
CJ Chibhabha,30,58
BRM Taylor,4,10
AG Cremer,75,94
TM Odoyo,45,115
HA Varaiya,18,20
H Patel,2,6
AM Samad,2,12
JL Denly,1,2
IJL Trott,3,10
LJ Wright,17,49
AU Rashid,209,191
GP Swann,107,101
RJ Sidebottom,25,85
PR Stirling,26,56
KJ O'Brien,60,120
JF Mooney,37,75
DT Johnston,39,80
AR White,10,10
RM West,1,5
AR Cusack,34,71
WK McCallan,14,19
B Lee,281,682
NL McCullum,71,57
DR Tuffey,51,139
SE Bond,113,219
V Kohli,7,19
PM Siddle,20,36
TL Best,36,147
WD Parnell,110,207
JEC Franklin,58,116
AM Nayar,0,2
G Onions,4,19
AC Voges,6,11
Dolar Mahmud,8,19
KM Jarvis,52,75
MC Henriques,10,15
DE Bollinger,65,144
SB Styris,76,118
MM Patel,93,159
AN Petersen,0,4
R McLaren,84,171
CK Langeveldt,88,163
UWMBCA Welegedara,17,35
S Randiv,38,37
NLTC Perera,183,189
M Pushpakumara,0,1
LPC Silva,1,3
RAS Lakmal,110,227
S Sreesanth,81,171
Mohammad Asif,41,96
Sarfraz Ahmed,0,0
AJ McKay,28,76
Shahadat Hossain,28,154
Shafiul Islam,73,174
N Deonarine,4,9
DR Smith,53,118
Aftab Ahmed,4,18
WW Hinds,22,32
M Vijay,1,3
A Mithun,3,17
S Tyagi,4,6
Suhrawadi Shuvo,17,12
JC Tredwell,63,37
GA Lamb,15,30
MJ Mason,27,54
T Maruma,6,5
CJ McKay,105,155
AM Blignaut,30,158
A Mishra,65,60
AB Dinda,14,25
PP Ojha,21,14
UT Yadav,116,250
LL Tsotsobe,102,132
R Ashwin,166,220
Pankaj Singh,0,2
BMAJ Mendis,31,36
HDRL Thirimanne,3,3
Umar Amin,0,0
PC Connell,7,13
WB Rankin,67,204
Imran Farhat,2,1
Asad Shafiq,0,0
Abdur Rehman,35,64
MH Yardy,20,39
SPD Smith,29,19
NR Kumar,2,5
AS Hansra,2,8
CK Hooper,1,8
HS Baidwan,25,37
PA Desai,6,1
A Balbirnie,1,0
Faisal Hossain,1,1
IR Bell,6,5
A Shahzad,15,49
GH Dockrell,68,119
KS Williamson,41,44
HMRKB Herath,79,66
TJ Heggelman,2,0
TLW Cooper,6,9
W Barresi,0,0
Mudassar Bukhari,16,40
PW Borren,6,19
PM Seelaar,26,24
MMA Jonkman,1,2
Adeel Raja,6,4
BP Loots,2,9
NG Jones,5,8
A van der Merwe,2,0
Mohammad Hafeez,142,191
Mohammad Irfan,88,196
CA Ingram,0,0
GW Flower,12,10
SW Masakadza,24,56
HK Bennett,37,70
IA Nicolson,1,2
RJ Peterson,76,65
Wahab Riaz,138,375
J Theron,32,51
JW Hastings,44,69
XJ Doherty,63,58
KO Meth,10,19
CT Tremlett,11,58
F du Plessis,2,11
PP Chawla,33,40
CR Woakes,191,196
LJ Woodcock,3,3
ST Finn,111,151
JJ Krejza,7,18
LE Plunkett,140,296
TG Gordon,0,1
WD Balaji Rao,10,16
H Osinde,25,70
SO Ngoche,6,2
E Otieno,15,34
RN ten Doeschate,20,57
BA Westdijk,1,19
T Panyangara,60,162
Imran Tahir,180,123
JO Ngoche,5,14
BP Kruger,0,0
AD Russell,72,164
D Bishoo,38,42
Alok Kapali,18,19
MN Samuels,66,127
A Martin,13,7
Hammad Azam,3,7
Tanvir Ahmed,1,1
Junaid Khan,113,200
MK Tiwary,5,8
R Vinay Kumar,46,49
MR Swart,2,1
JH Davey,26,44
RD Berrington,15,21
JW Dernbach,31,101
SR Patel,23,22
FDM Karunaratne,0,0
Nasir Hossain,25,17
RMS Eranga,22,44
Shuvagata Hom,0,0
S Prasanna,33,59
BA Stokes,76,214
SG Borthwick,1,0
BV Vitori,33,77
Junaid Siddiqui,5,13
Zahid Hussain,3,2
CR Brathwaite,46,66
MR Marsh,57,102
RJ Nicol,10,11
PJ Cummins,147,261
SC Meaker,2,10
N M'shangwe,2,5
CKB Kulasekara,0,3
Aizaz Cheema,24,39
VR Aaron,11,34
Farhad Reza,15,33
Elias Sunny,5,4
SP Narine,99,177
JN Mohammed,8,4
VD Philander,42,69
SMSM Senanayake,60,52
AM Ellis,14,22
DAJ Bracewell,28,36
DT Christian,21,23
R Sharma,6,3
MA Starc,250,510
Azhar Ali,4,12
DI Allan,0,0
RG Aga,5,15
TS Nethula,5,13
JL Ontong,1,1
JL Pattinson,13,52
C de Grandhomme,29,73
MD Bates,3,1
NM Lyon,29,42
J Charles,0,2
TA Boult,219,340
D Elgar,2,9
GJ Maxwell,78,145
AF Milne,59,122
Mominul Haque,6,3
V Permaul,8,12
Sohag Gazi,24,38
B Kumar,160,282
Mohammed Shami,202,318
AJ Finch,5,4
BCJ Cutting,5,6
KW Richardson,45,39
JE Root,27,57
RK Kleinveldt,12,48
JDS Neesham,71,191
MJ McClenaghan,92,150
C Munro,9,23
F Behardien,12,26
AM Phangiso,30,44
JO Holder,162,304
JP Faulkner,106,117
CT Mutombodzi,5,19
Raza-ur-Rehman,1,3
KJ Abbott,35,45
Ziaur Rahman,10,17
Abul Hasan,0,6
Sikandar Raza,81,157
TL Chatara,99,260
Robiul Islam,2,15
Ehsan Adil,4,10
NM Carter,1,1
MW Machan,4,10
RM Haq,27,21
I Wardlaw,18,34
RML Taylor,11,33
CH Morris,50,110
CJ Anderson,59,93
TJ Murtagh,48,47
DLS van Bunge,6,3
MJG Rippon,7,4
E Schiferli,8,23
Ahsan Malik,9,18
LHD Dilhara,3,8
Asad Ali,2,12
Haris Sohail,13,17
AT Rayudu,3,7
AK Perera,0,0
MT Chinouya,1,2
T van der Gugten,11,13
K Kamyuka,5,1
JOA Gordon,15,51
MC Sorensen,12,39
MA Carberry,0,0
NM Coulter-Nile,52,70
Fawad Ahmed,2,2
CJ Jordan,47,172
AP Devcich,5,19
Shamsur Rahman,0,0
Sohaib Maqsood,1,1
Bilawal Bhatti,7,20
Anwar Ali,20,23
MM Sharma,34,49
SMA Priyanjan,7,13
KDK Vithanage,0,0
TC Bastiampillai,0,0
MA Leask,64,86
SM Sharif,89,134
Arafat Sunny,27,30
Al-Amin Hossain,25,35
SR Thompson,10,41
PC de Silva,3,9
STR Binny,21,14
MM Ali,119,145
Mohammad Talha,4,9
Irfan Ahmed,4,9
Skhawat Ali,0,4
Nizakat Khan,3,2
Babar Hayat,0,0
Waqas Barkat,0,0
Haseeb Amjad,5,6
Tanwir Afzal,8,20
Nadeem Ahmed,26,21
Ehsan Nawaz,11,29
Khurram Khan,3,5
Shaiman Anwar,5,2
Mohammad Shahzad,8,4
Fayyaz Ahmed,0,0
Krishna Chandran,1,2
Ahmed Raza,61,84
Mohammad Naveed,46,65
AC Evans,37,59
HF Gurney,11,36
RV Uthappa,0,0
AR Patel,68,64
Mohammad Mithun,0,2
Taskin Ahmed,88,177
LM Jongwe,28,82
N Madziva,13,37
J Nyumbu,19,28
T Kamungozi,12,10
RR Rossouw,1,1
DT Tiripano,30,64
J Anderson,0,0
CA Young,77,118
GJ McCarter,0,0
SA Abbott,33,65
Zulfiqar Babar,4,8
Raza Hasan,2,2
PLS Gamage,10,30
KM Jadhav,28,46
JR Hazlewood,143,177
Sabbir Rahman,3,6
SF Mire,11,25
Soumya Sarkar,20,16
MJ Henry,158,175
JL Carter,4,9
SS Cottrell,52,100
Yasir Shah,25,24
Rohan Mustafa,87,96
Amjad Javed,7,31
Mohammad Tauqir,8,12
AM Guruge,7,5
AR McBrine,71,65
Rahat Ali,20,35
PVD Chameera,51,144
Kamran Shazad,4,7
Nasir Aziz,2,0
PHT Kaushal,0,0
Saad Nasim,0,1
S Chattergoon,0,0
BP Nash,0,0
SJ Harmison,66,251
MJ Santner,120,140
DJ Willey,105,176
MA Wood,75,166
BM Wheeler,11,17
DS Kulkarni,20,52
Mustafizur Rahman,159,241
Jubair Hossain,4,2
K Rabada,172,414
TAM Siriwardana,9,15
SS Pathirana,16,19
N Pradeep,69,125
Imad Wasim,44,85
C Zhuwao,0,0
D Wiese,19,25
WPUJC Vaas,118,210
A Nel,94,161
AO Suji,5,16
GD Drummond,2,13
DJ Reekers,3,9
HJC Mol,4,2
Zain Abbas,1,6
Munir Dar,1,1
Najeeb Amar,3,0
JPR Lamsam,0,0
Afzaal Haider,2,3
Mansoor Amjad,1,1
K Weeraratne,0,5
SD Outerbridge,1,0
IH Romaine,1,5
RJ Trott,9,4
RD Steede,1,8
GH O'Brien,3,3
RDM Leverock,13,12
Qaiser Ali,1,10
Sami Faridi,0,1
GH Worker,0,0
IS Sodhi,67,63
Bazid Khan,0,1
Mosharraf Hossain,1,4
GB Hogg,139,224
MDK Perera,13,22
MKDI Amerasinghe,10,14
PA Hitchcock,7,26
CS Martin,7,18
SM Pollock,120,166
Kamran Hussain,4,4
GB Brent,25,71
MR Gillespie,31,104
Tushar Imran,2,2
L Vincent,1,0
M Kartik,30,69
SC Ganguly,22,57
JM Kemp,17,39
LOB Cann,1,14
DL Hemp,0,3
JJ Tucker,3,10
MO Jones,6,18
KC Hodsoll,1,0
AS Luseno,4,8
KAD Hurdle,17,67
LN Onyango,9,6
AL Kandappah,0,0
D Soraine,1,3
J Patraj,2,3
A Shamshudeen,0,0
BJ Hodge,1,0
RR Powar,33,63
KS Lokuarachchi,18,12
MS Panesar,30,33
AB Agarkar,106,230
J Lewis,17,35
AC Agar,22,24
PJC Hoffmann,1,7
MP Stoinis,48,98
RJW Topley,48,87
AJ Hall,85,118
KED Carroll,0,0
MJ Fourie,0,9
RK Whelan,2,11
GH Bodi,0,0
JJ van der Wath,19,29
MS Tshabalala,3,7
UDU Chandana,38,57
Mohammad Rafique,55,95
CD Collymore,35,110
DR Brown,3,7
GA Rogers,5,2
D Langford-Smith,10,41
TBM de Leede,18,25
LP van Troost,1,6
WF Stelling,6,17
MP Vaughan,9,17
JWM Dalrymple,15,52
CD McMillan,13,2
Azhar Mahmood,6,33
Mohammad Sami,73,257
MBS Jonkman,5,10
GR Codrington,9,11
AG Prince,0,0
RP Arnold,8,15
Danish Kaneria,12,27
AC Cummins,4,28
KT Sandher,6,11
IDR Bradshaw,69,145
PJK Mooney,0,3
SI Mahmood,38,124
NJ Astle,8,9
Aamer Yamin,2,8
GD McGrath,109,98
PDRL Perera,12,31
AR Adams,28,43
DCC Borden,3,9
S Mukuddem,11,31
ADJ Pitcher,0,1
RT Lyons,1,2
A Codrington,6,16
A Kumble,31,90
RR Emrit,0,16
D Mongia,13,17
Bilal Asif,5,1
WP Masakadza,22,36
D Mohammed,10,6
ML Nkala,5,23
T Muzarabani,8,9
Mohammad Kashif,5,1
H Durham,2,6
SKW Kelly,2,9
S Thuraisingam,6,9
DR Martyn,1,0
MD Gunathilaka,8,7
GSNFG Jayasuriya,2,6
J Blackwood,0,0
Iftikhar Ahmed,16,14
Zafar Gohar,2,3
Anshuman Rath,13,5
KD Shah,7,0
Asif Iqbal (1),0,1
Umair Ali,0,9
Y Punja,0,4
Zaheer Maqsood,2,2
HP Rinke,2,3
AJ Ireland,16,65
MJ Cosgrove,0,0
ME Trescothick,2,7
R Clarke,10,33
D Gough,58,156
BJ Patel,0,0
JS Ababu,1,3
Rajin Saleh,10,20
NB Mahwire,8,34
VS Solanki,1,7
Kabir Ali,21,50
G Chapple,0,0
JDF Vandersay,40,65
Gurkeerat Singh,1,1
R Dhawan,1,8
A Zampa,179,122
SM Boland,17,27
TM Head,25,37
GM Strydom,0,0
RS Higgins,4,1
MD Shanaka,22,32
BKG Mendis,0,0
BJ McCarthy,49,96
ID Blackwell,15,29
VRV Singh,0,11
R Telemachus,8,29
ML Lewis,5,12
ST Gabriel,30,83
Manjural Islam Rana,14,29
KHRK Fernando,1,2
Khaled Mahmud,24,60
WCA Ganegama,0,4
