Credits,Player Type,Player Name,Team_x,MatchID,Stadium,Runs,Balls,Dismissals,StrikeRate,Economy,Runs Conceded,Balls Bowled,Wickets,Catches,Stumpings,RunOuts,Extras
7.5,BAT,Rahmat Shah,AFG,880.0,YMCA Cricket Club,26,42,1,61.90476190476191,0.0,0,0,0,0,0,0,0
7.5,BAT,Rahmat Shah,AFG,944.0,Sharjah Cricket Stadium,1,7,1,14.285714285714285,0.0,0,0,0,0,0,0,0
7.5,BAT,Rahmat Shah,AFG,944.0,Sharjah Cricket Stadium,0,0,0,0.0,0.0,0,0,0,1,0,0,0
7.5,BAT,Rahmat Shah,AFG,1031.0,Nondescripts Cricket Club Ground,9,11,0,81.81818181818183,0.0,0,0,0,0,0,0,0
7.5,BAT,Rahmat Shah,AFG,1031.0,Nondescripts Cricket Club Ground,0,0,0,0.0,0.0,0,0,0,0,1,0,0
7.5,BAT,Rahmat Shah,AFG,1037.0,Nondescripts Cricket Club Ground,9,19,1,47.368421052631575,0.0,0,0,0,0,0,0,0
7.5,BAT,Rahmat Shah,AFG,1041.0,Colombo Cricket Club Ground,0,0,0,0.0,0.0,0,0,0,2,0,1,0
7.5,BAT,Rahmat Shah,AFG,1042.0,P Sara Oval,1,15,1,6.666666666666667,0.0,0,0,0,0,0,0,0
7.5,BAT,Rahmat Shah,AFG,1042.0,P Sara Oval,0,0,0,0.0,0.0,0,0,0,1,0,0,0
7.5,BAT,Rahmat Shah,AFG,1033.0,P Sara Oval,34,33,1,103.03030303030305,0.0,0,0,0,0,0,0,0
7.5,BAT,Rahmat Shah,AFG,1033.0,P Sara Oval,0,0,0,0.0,0.0,0,0,0,1,0,1,0
7.5,BAT,Rahmat Shah,AFG,,Nondescripts Cricket Club Ground,9,20,1,45.0,0.0,0,0,0,0,0,0,0
7.5,BAT,Rahmat Shah,AFG,,Nondescripts Cricket Club Ground,0,0,0,0.0,0.0,0,0,0,3,1,0,0
7.5,BAT,Rahmat Shah,AFG,,Colombo Cricket Club Ground,16,28,0,57.14285714285714,0.0,0,0,0,0,0,0,0
7.5,BAT,Rahmat Shah,AFG,,Colombo Cricket Club Ground,0,0,0,0.0,0.0,0,0,0,2,0,0,0
6.5,ALL,Aaron Hardie,AUS,4638.0,"Mangaung Oval, Bloemfontein",3,5,1,60.0,0.0,0,0,0,0,0,0,0
6.5,ALL,Aaron Hardie,AUS,4638.0,"Mangaung Oval, Bloemfontein",0,0,0,0.0,6.200000000000001,62,60,2,0,0,0,0
6.5,ALL,Aaron Hardie,AUS,4721.0,Melbourne Cricket Ground,0,0,0,0.0,0.0,0,0,0,1,0,0,0
6.5,ALL,Aaron Hardie,AUS,4722.0,Sydney Cricket Ground,26,36,1,72.22222222222221,0.0,0,0,0,0,0,0,0
6.5,ALL,Aaron Hardie,AUS,4722.0,Sydney Cricket Ground,0,0,0,0.0,3.625,29,48,1,0,0,0,2
6.5,ALL,Aaron Hardie,AUS,4723.0,"Manuka Oval, Canberra",2,6,1,33.33333333333333,0.0,0,0,0,0,0,0,0
6.5,ALL,Aaron Hardie,AUS,4723.0,"Manuka Oval, Canberra",0,0,0,0.0,0.0,0,0,0,1,0,0,0
6.5,ALL,Aaron Hardie,AUS,4766.0,"Trent Bridge, Nottingham",0,0,0,0.0,4.5,27,36,0,0,0,0,0
6.5,ALL,Aaron Hardie,AUS,4770.0,"Headingley, Leeds",23,25,1,92.0,0.0,0,0,0,0,0,0,0
6.5,ALL,Aaron Hardie,AUS,4770.0,"Headingley, Leeds",0,0,0,0.0,3.4285714285714284,28,49,2,0,0,0,3
6.5,ALL,Aaron Hardie,AUS,4770.0,"Headingley, Leeds",0,0,0,0.0,0.0,0,0,0,1,0,0,0
6.5,ALL,Aaron Hardie,AUS,4775.0,"Riverside Ground, Chester-le-Street",44,26,1,169.23076923076923,0.0,0,0,0,0,0,0,0
6.5,ALL,Aaron Hardie,AUS,4775.0,"Riverside Ground, Chester-le-Street",0,0,0,0.0,5.4,27,30,0,0,0,0,1
6.5,ALL,Aaron Hardie,AUS,4779.0,"County Ground, Bristol",0,0,0,0.0,7.6,38,30,2,0,0,0,0
6.5,ALL,Aaron Hardie,AUS,4795.0,Melbourne Cricket Ground,10,19,1,52.63157894736842,0.0,0,0,0,0,0,0,0
6.5,ALL,Aaron Hardie,AUS,4795.0,Melbourne Cricket Ground,0,0,0,0.0,3.75,15,24,0,0,0,0,0
6.5,ALL,Aaron Hardie,AUS,4801.0,Adelaide Oval,14,29,1,48.27586206896552,0.0,0,0,0,0,0,0,0
6.5,ALL,Aaron Hardie,AUS,4801.0,Adelaide Oval,0,0,0,0.0,12.0,24,12,0,0,0,0,0
6.5,ALL,Aaron Hardie,AUS,4804.0,Perth Stadium,12,13,1,92.3076923076923,0.0,0,0,0,0,0,0,0
6.5,ALL,Aaron Hardie,AUS,4804.0,Perth Stadium,0,0,0,0.0,9.5,19,12,0,0,0,0,0
6.5,ALL,Aaron Hardie,AUS,4831.0,"R Premadasa Stadium, Colombo",32,38,1,84.21052631578947,0.0,0,0,0,0,0,0,0
6.5,ALL,Aaron Hardie,AUS,4831.0,"R Premadasa Stadium, Colombo",0,0,0,0.0,2.1666666666666665,13,36,2,0,0,0,0
9.0,BOWL,Adam Zampa,AUS,3733.0,Westpac Stadium,0,0,0,0.0,5.606557377049181,57,61,2,0,0,0,1
9.0,BOWL,Adam Zampa,AUS,3735.0,Seddon Park,2,11,1,18.181818181818183,0.0,0,0,0,0,0,0,0
9.0,BOWL,Adam Zampa,AUS,3735.0,Seddon Park,0,0,0,0.0,4.5,45,60,1,0,0,0,0
9.0,BOWL,Adam Zampa,AUS,3740.0,Providence Stadium,0,0,0,0.0,2.909090909090909,16,33,3,0,0,0,0
9.0,BOWL,Adam Zampa,AUS,3740.0,Providence Stadium,0,0,0,0.0,0.0,0,0,0,1,0,0,0
9.0,BOWL,Adam Zampa,AUS,3741.0,Providence Stadium,0,1,1,0.0,0.0,0,0,0,0,0,0,0
9.0,BOWL,Adam Zampa,AUS,3741.0,Providence Stadium,0,0,0,0.0,4.451612903225806,46,62,1,0,0,0,2
9.0,BOWL,Adam Zampa,AUS,3743.0,"Warner Park, Basseterre",0,0,0,0.0,5.3,53,60,3,0,0,0,1
9.0,BOWL,Adam Zampa,AUS,3745.0,"Warner Park, Basseterre",0,0,0,0.0,8.571428571428571,60,42,3,0,0,0,0
9.0,BOWL,Adam Zampa,AUS,3756.0,"Kensington Oval, Bridgetown",5,6,1,83.33333333333334,0.0,0,0,0,0,0,0,0
9.0,BOWL,Adam Zampa,AUS,3756.0,"Kensington Oval, Bridgetown",0,0,0,0.0,4.918032786885246,50,61,1,0,0,0,1
9.0,BOWL,Adam Zampa,AUS,3768.0,R Premadasa Stadium,0,0,0,0.0,4.857142857142858,34,42,0,0,0,0,0
9.0,BOWL,Adam Zampa,AUS,3769.0,R Premadasa Stadium,5,16,1,31.25,0.0,0,0,0,0,0,0,0
9.0,BOWL,Adam Zampa,AUS,3769.0,R Premadasa Stadium,0,0,0,0.0,4.131147540983607,42,61,3,0,0,0,1
9.0,BOWL,Adam Zampa,AUS,3772.0,Rangiri Dambulla International Stadium,5,6,0,83.33333333333334,0.0,0,0,0,0,0,0,0
9.0,BOWL,Adam Zampa,AUS,3772.0,Rangiri Dambulla International Stadium,0,0,0,0.0,3.9,39,60,3,0,0,0,1
9.0,BOWL,Adam Zampa,AUS,3772.0,Rangiri Dambulla International Stadium,0,0,0,0.0,0.0,0,0,0,1,0,0,0
9.0,BOWL,Adam Zampa,AUS,3774.0,Rangiri Dambulla International Stadium,0,0,0,0.0,4.163265306122449,34,49,1,0,0,0,5
9.0,BOWL,Adam Zampa,AUS,3782.0,Willowmoore Park,0,0,0,0.0,3.580645161290323,37,62,3,0,0,0,2
9.0,BOWL,Adam Zampa,AUS,3782.0,Willowmoore Park,0,0,0,0.0,0.0,0,0,0,1,0,0,0
9.0,BOWL,Adam Zampa,AUS,3787.0,New Wanderers Stadium,8,12,1,66.66666666666666,0.0,0,0,0,0,0,0,0
9.0,BOWL,Adam Zampa,AUS,3787.0,New Wanderers Stadium,0,0,0,0.0,6.75,54,48,0,0,0,0,0
9.0,BOWL,Adam Zampa,AUS,3787.0,New Wanderers Stadium,0,0,0,0.0,0.0,0,0,0,1,0,0,0
9.0,BOWL,Adam Zampa,AUS,3785.0,SuperSport Park,12,19,1,63.1578947368421,0.0,0,0,0,0,0,0,0
9.0,BOWL,Adam Zampa,AUS,3785.0,SuperSport Park,0,0,0,0.0,8.799999999999999,44,30,1,0,0,0,0
9.0,BOWL,Adam Zampa,AUS,3790.0,Kingsmead,0,0,0,0.0,7.466666666666667,56,45,1,0,0,0,2
9.0,BOWL,Adam Zampa,AUS,3795.0,Newlands,6,10,0,60.0,0.0,0,0,0,0,0,0,0
9.0,BOWL,Adam Zampa,AUS,3795.0,Newlands,0,0,0,0.0,6.387096774193548,33,31,0,0,0,0,1
9.0,BOWL,Adam Zampa,AUS,3811.0,Sydney Cricket Ground,2,2,0,100.0,0.0,0,0,0,0,0,0,0
9.0,BOWL,Adam Zampa,AUS,3811.0,Sydney Cricket Ground,0,0,0,0.0,6.6000000000000005,66,60,2,0,0,0,0
9.0,BOWL,Adam Zampa,AUS,3822.0,Sydney Cricket Ground,0,0,0,0.0,5.508196721311475,56,61,3,0,0,0,2
9.0,BOWL,Adam Zampa,AUS,3826.0,Adelaide Oval,0,0,0,0.0,6.654545454545454,61,55,1,0,0,0,2
9.0,BOWL,Adam Zampa,AUS,3832.0,Seddon Park,1,5,1,20.0,0.0,0,0,0,0,0,0,0
9.0,BOWL,Adam Zampa,AUS,3832.0,Seddon Park,0,0,0,0.0,5.857142857142857,41,42,0,0,0,0,0
9.0,BOWL,Adam Zampa,AUS,3879.0,Kennington Oval,0,0,0,0.0,3.25,13,24,2,0,0,0,0
9.0,BOWL,Adam Zampa,AUS,3885.0,Edgbaston,0,3,1,0.0,0.0,0,0,0,0,0,0,0
9.0,BOWL,Adam Zampa,AUS,3885.0,Edgbaston,0,0,0,0.0,6.117647058823529,52,51,0,0,0,0,1
9.0,BOWL,Adam Zampa,AUS,3885.0,Edgbaston,0,0,0,0.0,0.0,0,0,0,0,0,1,0
9.0,BOWL,Adam Zampa,AUS,4152.0,Trent Bridge,0,0,0,0.0,5.9,59,60,1,0,0,0,1
9.0,BOWL,Adam Zampa,AUS,4152.0,Trent Bridge,0,0,0,0.0,0.0,0,0,0,1,0,0,0
9.0,BOWL,Adam Zampa,AUS,4155.0,Kennington Oval,1,3,1,33.33333333333333,0.0,0,0,0,0,0,0,0
9.0,BOWL,Adam Zampa,AUS,4155.0,Kennington Oval,0,0,0,0.0,8.333333333333332,50,36,0,0,0,0,0
9.0,BOWL,Adam Zampa,AUS,4166.0,Trent Bridge,0,0,0,0.0,7.418181818181818,68,55,1,0,0,0,1
9.0,BOWL,Adam Zampa,AUS,4116.0,Sharjah Cricket Stadium,0,0,0,0.0,4.5,45,60,0,0,0,0,1
9.0,BOWL,Adam Zampa,AUS,4117.0,Sharjah Cricket Stadium,0,0,0,0.0,5.699999999999999,57,60,1,0,0,0,0
9.0,BOWL,Adam Zampa,AUS,4118.0,Sheikh Zayed Stadium,0,0,0,0.0,4.448275862068966,43,58,4,0,0,0,0
9.0,BOWL,Adam Zampa,AUS,4119.0,Dubai International Cricket Stadium,0,0,0,0.0,4.9,49,60,1,0,0,0,0
9.0,BOWL,Adam Zampa,AUS,4120.0,Dubai International Cricket Stadium,0,0,0,0.0,7.157894736842104,68,57,1,0,0,0,4
