Credits,Player Type,Player Name,Team_x,Unnamed: 0,MatchID,Stadium,Runs,FBalls,Dismissals,StrikeRate,Economy,Runs Conceded,Balls Bowled,Wickets,Catches,Stumpings,RunOuts,Extras,Fours,Sixes,Overs,Maidens,Score
7.5,BAT,Rahmat Shah,AFG,3800,1031.0,Nondescripts Cricket Club Ground,1,11,0,9.090909090909092,0.0,0,0,0,0,0,0,0,2,0,0,0,-3
7.5,BAT,Rahmat Shah,AFG,3815,1031.0,Nondescripts Cricket Club Ground,0,0,0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,9
7.5,BAT,Rahmat Shah,AFG,3870,1033.0,P Sara Oval,18,33,1,54.54545454545454,0.0,0,0,0,0,0,0,0,4,0,0,0,18
7.5,BAT,Rahmat Shah,AFG,3907,1033.0,P Sara Oval,0,0,0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0,13
7.5,BAT,Rahmat Shah,AFG,4025,1037.0,Nondescripts Cricket Club Ground,9,19,1,47.368421052631575,0.0,0,0,0,0,0,0,0,0,0,0,0,3
7.5,BAT,Rahmat Shah,AFG,4184,1041.0,Colombo Cricket Club Ground,0,0,0,0.0,0.0,0,0,0,2,0,1,0,0,0,0,0,21
7.5,BAT,Rahmat Shah,AFG,4196,1042.0,P Sara Oval,1,15,1,6.666666666666667,0.0,0,0,0,0,0,0,0,0,0,0,0,-5
7.5,BAT,Rahmat Shah,AFG,4219,1042.0,P Sara Oval,0,0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,5
7.5,BAT,Rahmat Shah,AFG,84458,880.0,YMCA Cricket Club,10,42,1,23.809523809523807,0.0,0,0,0,0,0,0,0,4,0,0,0,8
7.5,BAT,Rahmat Shah,AFG,101579,944.0,Sharjah Cricket Stadium,1,7,1,14.285714285714285,0.0,0,0,0,0,0,0,0,0,0,0,0,1
7.5,BAT,Rahmat Shah,AFG,101608,944.0,Sharjah Cricket Stadium,0,0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,5
7.5,BAT,Rahmat Shah,AFG,110223,,Nondescripts Cricket Club Ground,5,20,1,25.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0
7.5,BAT,Rahmat Shah,AFG,110254,,Nondescripts Cricket Club Ground,0,0,0,0.0,0.0,0,0,0,3,1,0,0,0,0,0,0,37
7.5,BAT,Rahmat Shah,AFG,110548,,Colombo Cricket Club Ground,12,28,0,42.85714285714285,0.0,0,0,0,0,0,0,0,1,0,0,0,7
7.5,BAT,Rahmat Shah,AFG,110561,,Colombo Cricket Club Ground,0,0,0,0.0,0.0,0,0,0,2,0,0,0,0,0,0,0,13
6.5,ALL,Aaron Hardie,AUS,36299,4638.0,"Mangaung Oval, Bloemfontein",3,5,1,60.0,0.0,0,0,0,0,0,0,0,0,0,0,0,3
6.5,ALL,Aaron Hardie,AUS,36322,4638.0,"Mangaung Oval, Bloemfontein",0,0,0,0.0,6.200000000000001,62,60,2,0,0,0,0,0,0,10,0,49
6.5,ALL,Aaron Hardie,AUS,36593,4721.0,Melbourne Cricket Ground,0,0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,5
6.5,ALL,Aaron Hardie,AUS,36603,4722.0,Sydney Cricket Ground,14,36,1,38.88888888888889,0.0,0,0,0,0,0,0,0,3,0,0,0,11
6.5,ALL,Aaron Hardie,AUS,36626,4722.0,Sydney Cricket Ground,0,0,0,0.0,3.625,29,48,1,0,0,0,2,0,0,8,0,28
